Age,Distribution
15.0,0.016848849
15.1,0.016818472
15.2,0.016788184
15.3,0.016757983
15.4,0.01672787
15.5,0.016697846
15.6,0.01666791
15.7,0.016638062
15.8,0.016608304
15.9,0.016578634
16.0,0.016549054
16.1,0.016519564
16.2,0.016490164
16.3,0.016460853
16.4,0.016431634
16.5,0.016402504
16.6,0.016373466
16.7,0.016344519
16.8,0.016315664
16.9,0.0162869
17.0,0.016258228
17.1,0.016229649
17.2,0.016201163
17.3,0.016172769
17.4,0.016144469
17.5,0.016116262
17.6,0.01608815
17.7,0.016060132
17.8,0.016032208
17.9,0.01600438
18.0,0.015976647
18.1,0.01594901
18.2,0.015921469
18.3,0.015894024
18.4,0.015866676
18.5,0.015839426
18.6,0.015812273
18.7,0.015785218
18.8,0.015758262
18.9,0.015731405
19.0,0.015704646
19.1,0.015677988
19.2,0.01565143
19.3,0.015624973
19.4,0.015598616
19.5,0.015572361
19.6,0.015546209
19.7,0.015520158
19.8,0.015494211
19.9,0.015468367
20.0,0.015442627
20.1,0.015416992
20.2,0.015391461
20.3,0.015366036
20.4,0.015340718
20.5,0.015315505
20.6,0.0152904
20.7,0.015265403
20.8,0.015240514
20.9,0.015215733
21.0,0.015191062
21.1,0.015166501
21.2,0.015142051
21.3,0.015117712
21.4,0.015093485
21.5,0.01506937
21.6,0.015045369
21.7,0.015021481
21.8,0.014997708
21.9,0.01497405
22.0,0.014950507
22.1,0.014927081
22.2,0.014903772
22.3,0.014880581
22.4,0.014857509
22.5,0.014834556
22.6,0.014811723
22.7,0.014789011
22.8,0.014766421
22.9,0.014743953
23.0,0.014721608
23.1,0.014699387
23.2,0.014677291
23.3,0.014655321
23.4,0.014633477
23.5,0.01461176
23.6,0.014590172
23.7,0.014568712
23.8,0.014547382
23.9,0.014526184
24.0,0.014505116
24.1,0.014484182
24.2,0.014463381
24.3,0.014442714
24.4,0.014422183
24.5,0.014401789
24.6,0.014381532
24.7,0.014361413
24.8,0.014341434
24.9,0.014321595
25.0,0.014301897
25.1,0.014282343
25.2,0.014262932
25.3,0.014243665
25.4,0.014224545
25.5,0.014205571
25.6,0.014186746
25.7,0.014168069
25.8,0.014149543
25.9,0.014131169
26.0,0.014112948
26.1,0.01409488
26.2,0.014076968
26.3,0.014059212
26.4,0.014041613
26.5,0.014024174
26.6,0.014006895
26.7,0.013989777
26.8,0.013972823
26.9,0.013956032
27.0,0.013939407
27.1,0.01392295
27.2,0.01390666
27.3,0.01389054
27.4,0.013874592
27.5,0.013858816
27.6,0.013843214
27.7,0.013827788
27.8,0.013812539
27.9,0.013797469
28.0,0.013782579
28.1,0.013767871
28.2,0.013753346
28.3,0.013739005
28.4,0.013724852
28.5,0.013710887
28.6,0.013697111
28.7,0.013683527
28.8,0.013670137
28.9,0.013656941
29.0,0.013643942
29.1,0.013631142
29.2,0.013618542
29.3,0.013606144
29.4,0.01359395
29.5,0.013581962
29.6,0.013570181
29.7,0.01355861
29.8,0.013547251
29.9,0.013536105
30.0,0.013525175
30.1,0.013514461
30.2,0.013503968
30.3,0.013493696
30.4,0.013483647
30.5,0.013473824
30.6,0.013464228
30.7,0.013454863
30.8,0.013445729
30.9,0.01343683
31.0,0.013428167
31.1,0.013419743
31.2,0.01341156
31.3,0.01340362
31.4,0.013395925
31.5,0.013388479
31.6,0.013381282
31.7,0.013374338
31.8,0.01336765
31.9,0.013361218
32.0,0.013355047
32.1,0.013349137
32.2,0.013343493
32.3,0.013338117
32.4,0.01333301
32.5,0.013328176
32.6,0.013323617
32.7,0.013319336
32.8,0.013315336
32.9,0.013311619
33.0,0.013308188
33.1,0.013305046
33.2,0.013302196
33.3,0.01329964
33.4,0.013297381
33.5,0.013295423
33.6,0.013293767
33.7,0.013292418
33.8,0.013291377
33.9,0.013290649
34.0,0.013290235
34.1,0.01329014
34.2,0.013290365
34.3,0.013290915
34.4,0.013291792
34.5,0.013292999
34.6,0.01329454
34.7,0.013296418
34.8,0.013298636
34.9,0.013301198
35.0,0.013304106
35.1,0.013307364
35.2,0.013310976
35.3,0.013314944
35.4,0.013319273
35.5,0.013323965
35.6,0.013329024
35.7,0.013334454
35.8,0.013340257
35.9,0.013346439
36.0,0.013353002
36.1,0.013359949
36.2,0.013367285
36.3,0.013375013
36.4,0.013383136
36.5,0.013391659
36.6,0.013400586
36.7,0.013409919
36.8,0.013419663
36.9,0.013429821
37.0,0.013440398
37.1,0.013451397
37.2,0.013462822
37.3,0.013474676
37.4,0.013486965
37.5,0.013499691
37.6,0.013512859
37.7,0.013526473
37.8,0.013540537
37.9,0.013555054
38.0,0.013570028
38.1,0.013585465
38.2,0.013601367
38.3,0.013617739
38.4,0.013634585
38.5,0.013651909
38.6,0.013669716
38.7,0.013688008
38.8,0.013706791
38.9,0.013726068
39.0,0.013745844
39.1,0.013766123
39.2,0.013786909
39.3,0.013808206
39.4,0.013830019
39.5,0.013852351
39.6,0.013875206
39.7,0.01389859
39.8,0.013922505
39.9,0.013946957
40.0,0.013971949
40.1,0.013997486
40.2,0.014023571
40.3,0.014050209
40.4,0.014077404
40.5,0.01410516
40.6,0.014133481
40.7,0.014162371
40.8,0.014191835
40.9,0.014221876
41.0,0.014252498
41.1,0.014283705
41.2,0.014315502
41.3,0.014347891
41.4,0.014380878
41.5,0.014414466
41.6,0.014448658
41.7,0.014483459
41.8,0.014518871
41.9,0.0145549
42.0,0.014591548
42.1,0.014628819
42.2,0.014666717
42.3,0.014705244
42.4,0.014744405
42.5,0.014784203
42.6,0.01482464
42.7,0.014865721
42.8,0.014907448
42.9,0.014949824
43.0,0.014992852
43.1,0.015036535
43.2,0.015080875
43.3,0.015125876
43.4,0.01517154
43.5,0.015217869
43.6,0.015264865
43.7,0.015312532
43.8,0.01536087
43.9,0.015409882
44.0,0.015459569
44.1,0.015509934
44.2,0.015560977
44.3,0.015612701
44.4,0.015665106
44.5,0.015718193
44.6,0.015771964
44.7,0.015826418
44.8,0.015881557
44.9,0.015937381
45.0,0.015993891
45.1,0.016051085
45.2,0.016108963
45.3,0.016167526
45.4,0.016226773
45.5,0.016286702
45.6,0.016347313
45.7,0.016408604
45.8,0.016470574
45.9,0.01653322
46.0,0.01659654
46.1,0.016660533
46.2,0.016725195
46.3,0.016790523
46.4,0.016856514
46.5,0.016923164
46.6,0.016990469
46.7,0.017058426
46.8,0.017127029
46.9,0.017196273
47.0,0.017266154
47.1,0.017336665
47.2,0.017407801
47.3,0.017479554
47.4,0.017551918
47.5,0.017624887
47.6,0.017698451
47.7,0.017772604
47.8,0.017847336
47.9,0.017922639
48.0,0.017998503
48.1,0.018074918
48.2,0.018151874
48.3,0.01822936
48.4,0.018307364
48.5,0.018385875
48.6,0.018464879
