Age,Distribution
15.0,0.020849138
15.1,0.020808347
15.2,0.02076772
15.3,0.020727257
15.4,0.020686957
15.5,0.020646822
15.6,0.020606849
15.7,0.020567039
15.8,0.020527392
15.9,0.020487908
16.0,0.020448586
16.1,0.020409426
16.2,0.020370429
16.3,0.020331593
16.4,0.020292919
16.5,0.020254406
16.6,0.020216055
16.7,0.020177864
16.8,0.020139835
16.9,0.020101966
17.0,0.020064257
17.1,0.020026709
17.2,0.019989321
17.3,0.019952092
17.4,0.019915024
17.5,0.019878114
17.6,0.019841364
17.7,0.019804773
17.8,0.01976834
17.9,0.019732067
18.0,0.019695951
18.1,0.019659994
18.2,0.019624195
18.3,0.019588553
18.4,0.019553069
18.5,0.019517743
18.6,0.019482573
18.7,0.019447561
18.8,0.019412705
18.9,0.019378006
19.0,0.019343463
19.1,0.019309075
19.2,0.019274844
19.3,0.019240769
19.4,0.019206849
19.5,0.019173084
19.6,0.019139474
19.7,0.019106018
19.8,0.019072717
19.9,0.019039571
20.0,0.019006578
20.1,0.01897374
20.2,0.018941055
20.3,0.018908523
20.4,0.018876144
20.5,0.018843918
20.6,0.018811845
20.7,0.018779925
20.8,0.018748156
20.9,0.018716539
21.0,0.018685074
21.1,0.018653761
21.2,0.018622598
21.3,0.018591586
21.4,0.018560726
21.5,0.018530015
21.6,0.018499455
21.7,0.018469044
21.8,0.018438783
21.9,0.018408671
22.0,0.018378709
22.1,0.018348895
22.2,0.01831923
22.3,0.018289713
22.4,0.018260344
22.5,0.018231122
22.6,0.018202048
22.7,0.018173122
22.8,0.018144341
22.9,0.018115708
23.0,0.018087221
23.1,0.018058879
23.2,0.018030683
23.3,0.018002633
23.4,0.017974727
23.5,0.017946966
23.6,0.01791935
23.7,0.017891877
23.8,0.017864549
23.9,0.017837363
24.0,0.017810321
24.1,0.017783421
24.2,0.017756664
24.3,0.017730049
24.4,0.017703575
24.5,0.017677243
24.6,0.017651052
24.7,0.017625001
24.8,0.017599091
24.9,0.01757332
25.0,0.017547689
25.1,0.017522197
25.2,0.017496844
25.3,0.017471629
25.4,0.017446552
25.5,0.017421612
25.6,0.01739681
25.7,0.017372145
25.8,0.017347615
25.9,0.017323222
26.0,0.017298964
26.1,0.017274841
26.2,0.017250853
26.3,0.017226999
26.4,0.017203278
26.5,0.017179691
26.6,0.017156237
26.7,0.017132915
26.8,0.017109725
26.9,0.017086666
27.0,0.017063739
27.1,0.017040941
27.2,0.017018274
27.3,0.016995736
27.4,0.016973327
27.5,0.016951046
27.6,0.016928893
27.7,0.016906867
27.8,0.016884969
27.9,0.016863196
28.0,0.01684155
28.1,0.016820028
28.2,0.016798631
28.3,0.016777358
28.4,0.016756208
28.5,0.016735182
28.6,0.016714277
28.7,0.016693494
28.8,0.016672832
28.9,0.016652291
29.0,0.016631869
29.1,0.016611567
29.2,0.016591382
29.3,0.016571316
29.4,0.016551367
29.5,0.016531534
29.6,0.016511818
29.7,0.016492216
29.8,0.016472729
29.9,0.016453355
30.0,0.016434095
30.1,0.016414946
30.2,0.01639591
30.3,0.016376984
30.4,0.016358168
30.5,0.016339461
30.6,0.016320863
30.7,0.016302372
30.8,0.016283988
30.9,0.016265711
31.0,0.016247538
31.1,0.01622947
31.2,0.016211506
31.3,0.016193644
31.4,0.016175884
31.5,0.016158226
31.6,0.016140667
31.7,0.016123207
31.8,0.016105846
31.9,0.016088582
32.0,0.016071415
32.1,0.016054343
32.2,0.016037365
32.3,0.016020481
32.4,0.01600369
32.5,0.01598699
32.6,0.015970381
32.7,0.015953861
32.8,0.01593743
32.9,0.015921087
33.0,0.015904829
33.1,0.015888657
33.2,0.01587257
33.3,0.015856565
33.4,0.015840643
33.5,0.015824801
33.6,0.015809039
33.7,0.015793356
33.8,0.01577775
33.9,0.01576222
34.0,0.015746765
34.1,0.015731385
34.2,0.015716076
34.3,0.01570084
34.4,0.015685673
34.5,0.015670575
34.6,0.015655544
34.7,0.01564058
34.8,0.015625681
34.9,0.015610845
35.0,0.015596071
35.1,0.015581358
35.2,0.015566705
35.3,0.01555211
35.4,0.015537571
35.5,0.015523087
35.6,0.015508657
35.7,0.01549428
35.8,0.015479953
35.9,0.015465676
36.0,0.015451446
36.1,0.015437262
36.2,0.015423123
36.3,0.015409028
36.4,0.015394973
36.5,0.015380959
36.6,0.015366983
36.7,0.015353043
36.8,0.015339139
36.9,0.015325268
37.0,0.015311428
37.1,0.015297618
37.2,0.015283836
37.3,0.015270081
37.4,0.015256351
37.5,0.015242643
37.6,0.015228956
37.7,0.015215288
37.8,0.015201638
37.9,0.015188003
38.0,0.015174382
38.1,0.015160773
38.2,0.015147173
38.3,0.015133581
38.4,0.015119995
38.5,0.015106413
38.6,0.015092833
38.7,0.015079252
38.8,0.01506567
38.9,0.015052083
39.0,0.01503849
39.1,0.015024888
39.2,0.015011276
39.3,0.014997651
39.4,0.014984011
39.5,0.014970355
39.6,0.014956679
39.7,0.014942981
39.8,0.01492926
39.9,0.014915513
40.0,0.014901738
40.1,0.014887932
40.2,0.014874094
40.3,0.01486022
40.4,0.014846309
40.5,0.014832358
40.6,0.014818364
40.7,0.014804326
40.8,0.01479024
40.9,0.014776105
41.0,0.014761918
41.1,0.014747676
41.2,0.014733377
41.3,0.014719018
41.4,0.014704597
41.5,0.014690111
41.6,0.014675558
41.7,0.014660935
41.8,0.014646239
41.9,0.014631468
42.0,0.014616618
42.1,0.014601688
42.2,0.014586675
42.3,0.014571576
42.4,0.014556387
42.5,0.014541107
42.6,0.014525733
42.7,0.014510261
42.8,0.014494689
42.9,0.014479015
43.0,0.014463234
43.1,0.014447345
43.2,0.014431344
43.3,0.014415229
43.4,0.014398997
43.5,0.014382644
43.6,0.014366169
43.7,0.014349567
43.8,0.014332835
43.9,0.014315972
44.0,0.014298973
44.1,0.014281836
44.2,0.014264558
44.3,0.014247135
44.4,0.014229565
44.5,0.014211845
44.6,0.014193971
44.7,0.01417594
44.8,0.01415775
44.9,0.014139396
45.0,0.014120877
45.1,0.014102188
45.2,0.014083326
45.3,0.01406429
45.4,0.014045074
45.5,0.014025676
45.6,0.014006094
45.7,0.013986323
45.8,0.01396636
45.9,0.013946203
46.0,0.013925847
46.1,0.013905291
46.2,0.013884529
46.3,0.013863561
46.4,0.013842381
46.5,0.013820987
46.6,0.013799375
46.7,0.013777543
46.8,0.013755487
46.9,0.013733203
47.0,0.013710689
47.1,0.013687942
47.2,0.013664957
47.3,0.013641733
47.4,0.013618264
47.5,0.01359455
47.6,0.013570585
47.7,0.013546367
47.8,0.013521893
47.9,0.013497159
48.0,0.013472162
48.1,0.0134469
48.2,0.013421368
48.3,0.013395564
48.4,0.013369485
48.5,0.013343127
48.6,0.013316487
48.7,0.013289563
48.8,0.01326235
48.9,0.013234846
49.0,0.013207049
49.1,0.013178954
49.2,0.013150559
49.3,0.013121861
49.4,0.013092856
49.5,0.013063543
49.6,0.013033917
49.7,0.013003977
49.8,0.012973719
49.9,0.01294314
50.0,0.012912237
50.1,0.012881009
50.2,0.012849451
50.3,0.012817562
50.4,0.012785338
50.5,0.012752777
50.6,0.012719876
50.7,0.012686634
50.8,0.012653046
50.9,0.012619111
51.0,0.012584826
51.1,0.012550189
51.2,0.012515198
51.3,0.01247985
51.4,0.012444143
51.5,0.012408074
51.6,0.012371642
51.7,0.012334844
51.8,0.012297679
51.9,0.012260144
52.0,0.012222238
52.1,0.012183958
52.2,0.012145302
52.3,0.01210627
52.4,0.012066859
52.5,0.012027067
52.6,0.011986894
52.7,0.011946337
52.8,0.011905395
52.9,0.011864067
53.0,0.011822351
53.1,0.011780247
53.2,0.011737752
53.3,0.011694867
53.4,0.011651589
53.5,0.011607919
53.6,0.011563855
53.7,0.011519397
53.8,0.011474543
53.9,0.011429294
54.0,0.011383649
54.1,0.011337607
54.2,0.011291169
54.3,0.011244333
54.4,0.0111971
54.5,0.01114947
54.6,0.011101443
54.7,0.011053019
54.8,0.011004198
54.9,0.010954981
55.0,0.010905369
55.1,0.010855361
55.2,0.010804959
55.3,0.010754163
55.4,0.010702974
55.5,0.010651393
55.6,0.010599422
55.7,0.010547062
55.8,0.010494313
55.9,0.010441178
56.0,0.010387659
56.1,0.010333755
56.2,0.010279471
56.3,0.010224807
56.4,0.010169766
56.5,0.010114349
56.6,0.01005856
56.7,0.0100024
56.8,0.009945872
56.9,0.00988898
57.0,0.009831725
57.1,0.009774111
57.2,0.00971614
57.3,0.009657816
57.4,0.009599143
57.5,0.009540124
57.6,0.009480761
57.7,0.00942106
57.8,0.009361024
57.9,0.009300658
58.0,0.009239964
58.1,0.009178948
58.2,0.009117613
58.3,0.009055965
58.4,0.008994008
58.5,0.008931748
58.6,0.008869188
58.7,0.008806334
58.8,0.008743191
58.9,0.008679765
59.0,0.008616061
59.1,0.008552085
59.2,0.008487843
59.3,0.00842334
59.4,0.008358582
59.5,0.008293576
59.6,0.008228329
59.7,0.008162845
59.8,0.008097133
59.9,0.008031198
60.0,0.007965048
60.1,0.00789869
60.2,0.00783213
60.3,0.007765377
60.4,0.007698436
60.5,0.007631316
60.6,0.007564025
60.7,0.007496569
60.8,0.007428958
60.9,0.007361198
61.0,0.007293298
61.1,0.007225266
61.2,0.00715711
61.3,0.00708884
61.4,0.007020462
61.5,0.006951986
61.6,0.006883421
61.7,0.006814776
61.8,0.006746059
61.9,0.006677279
62.0,0.006608445
62.1,0.006539568
62.2,0.006470655
62.3,0.006401716
62.4,0.006332761
62.5,0.006263799
62.6,0.006194841
62.7,0.006125894
62.8,0.00605697
62.9,0.005988078
63.0,0.005919228
63.1,0.005850429
63.2,0.005781692
63.3,0.005713027
63.4,0.005644444
63.5,0.005575952
63.6,0.005507562
63.7,0.005439285
63.8,0.005371129
63.9,0.005303107
64.0,0.005235226
64.1,0.005167499
64.2,0.005099935
64.3,0.005032544
64.4,0.004965337
64.5,0.004898324
64.6,0.004831515
64.7,0.004764919
64.8,0.004698549
64.9,0.004632413
65.0,0.004566522
65.1,0.004500885
65.2,0.004435514
65.3,0.004370417
65.4,0.004305605
65.5,0.004241087
65.6,0.004176875
65.7,0.004112976
65.8,0.004049401
65.9,0.00398616
66.0,0.003923262
66.1,0.003860717
66.2,0.003798533
66.3,0.003736721
66.4,0.003675288
66.5,0.003614245
66.6,0.0035536
66.7,0.003493362
66.8,0.00343354
66.9,0.003374142
67.0,0.003315176
67.1,0.003256651
67.2,0.003198575
67.3,0.003140956
67.4,0.003083802
67.5,0.00302712
67.6,0.002970917
67.7,0.002915202
67.8,0.002859981
67.9,0.002805261
68.0,0.00275105
68.1,0.002697352
68.2,0.002644176
68.3,0.002591527
68.4,0.002539411
68.5,0.002487834
68.6,0.002436801
68.7,0.002386318
68.8,0.002336391
68.9,0.002287023
69.0,0.002238221
69.1,0.002189987
69.2,0.002142327
69.3,0.002095245
69.4,0.002048744
69.5,0.002002828
69.6,0.001957501
69.7,0.001912765
69.8,0.001868624
69.9,0.001825079
70.0,0.001782134
70.1,0.001739791
70.2,0.001698051
70.3,0.001656916
70.4,0.001616389
70.5,0.001576468
70.6,0.001537157
70.7,0.001498455
70.8,0.001460363
70.9,0.001422881
71.0,0.00138601
71.1,0.001349748
71.2,0.001314095
71.3,0.001279051
71.4,0.001244615
71.5,0.001210784
71.6,0.001177559
71.7,0.001144936
71.8,0.001112915
71.9,0.001081493
72.0,0.001050667
72.1,0.001020436
72.2,0.000990795
72.3,0.000961743
72.4,0.000933275
72.5,0.000905389
72.6,0.00087808
72.7,0.000851345
72.8,0.00082518
72.9,0.000799581
73.0,0.000774542
73.1,0.000750059
73.2,0.000726128
73.3,0.000702744
73.4,0.0006799
73.5,0.000657593
73.6,0.000635816
73.7,0.000614564
73.8,0.000593831
73.9,0.000573611
74.0,0.000553897
74.1,0.000534685
74.2,0.000515967
74.3,0.000497737
74.4,0.000479988
74.5,0.000462714
74.6,0.000445908
74.7,0.000429563
74.8,0.000413671
74.9,0.000398227
75.0,0.000383223
75.1,0.000368652
75.2,0.000354506
75.3,0.000340778
75.4,0.000327461
75.5,0.000314547
75.6,0.00030203
75.7,0.0002899
75.8,0.000278152
75.9,0.000266777
76.0,0.000255768
76.1,0.000245118
76.2,0.000234818
76.3,0.000224862
76.4,0.000215241
76.5,0.000205949
76.6,0.000196977
76.7,0.000188319
76.8,0.000179966
76.9,0.000171913
77.0,0.00016415
77.1,0.000156671
77.2,0.000149469
77.3,0.000142536
77.4,0.000135865
77.5,0.00012945
77.6,0.000123283
77.7,0.000117357
77.8,0.000111665
77.9,0.000106201
78.0,0.000100959
78.1,9.59E-05
78.2,9.11E-05
78.3,8.65E-05
78.4,8.21E-05
78.5,7.78E-05
78.6,7.38E-05
78.7,6.99E-05
78.8,6.62E-05
78.9,6.27E-05
79.0,5.93E-05
79.1,5.61E-05
79.2,5.30E-05
79.3,5.00E-05
79.4,4.73E-05
79.5,4.46E-05
79.6,4.21E-05
79.7,3.96E-05
79.8,3.74E-05
79.9,3.52E-05
80.0,3.31E-05
80.1,3.11E-05
80.2,2.93E-05
80.3,2.75E-05
80.4,2.58E-05
80.5,2.42E-05
80.6,2.27E-05
80.7,2.13E-05
80.8,2.00E-05
80.9,1.87E-05
81.0,1.75E-05
81.1,1.64E-05
81.2,1.53E-05
81.3,1.43E-05
81.4,1.33E-05
81.5,1.24E-05
81.6,1.16E-05
81.7,1.08E-05
81.8,1.01E-05
81.9,9.37E-06
82.0,8.72E-06
82.1,8.10E-06
82.2,7.53E-06
82.3,6.99E-06
82.4,6.48E-06
82.5,6.01E-06
82.6,5.56E-06
82.7,5.15E-06
82.8,4.77E-06
82.9,4.41E-06
83.0,4.07E-06
83.1,3.76E-06
83.2,3.47E-06
83.3,3.20E-06
83.4,2.94E-06
83.5,2.71E-06
83.6,2.49E-06
83.7,2.29E-06
83.8,2.10E-06
83.9,1.93E-06
84.0,1.77E-06
84.1,1.62E-06
84.2,1.49E-06
84.3,1.36E-06
84.4,1.24E-06
84.5,1.14E-06
84.6,1.04E-06
84.7,9.46E-07
84.8,8.62E-07
84.9,7.85E-07
85.0,7.14E-07
85.1,6.49E-07
85.2,5.90E-07
