Age;Distribution
15;1.08423974915855E-05
15.1;1.1014499039071E-05
15.2;1.1358702134042E-05
15.3;1.15308036815275E-05
15.4;1.17029052290129E-05
15.5;1.18750067764984E-05
15.6;1.20471083239839E-05
15.7;1.23913114189549E-05
15.8;1.25634129664404E-05
15.9;1.27355145139259E-05
16;1.29076160614113E-05
16.1;1.32518191563823E-05
16.2;1.35960222513533E-05
16.3;1.37681237988388E-05
16.4;1.41123268938097E-05
16.5;1.44565299887807E-05
16.6;1.48007330837517E-05
16.7;1.49728346312372E-05
16.8;1.53170377262081E-05
16.9;1.56612408211791E-05
17;1.58333423686646E-05
17.1;1.6349647011121E-05
17.2;1.68659516535775E-05
17.3;1.73822562960339E-05
17.4;1.80706624859759E-05
17.5;1.85869671284323E-05
17.6;1.91032717708888E-05
17.7;1.96195764133452E-05
17.8;2.01358810558017E-05
17.9;2.06521856982581E-05
18;2.13405918882001E-05
18.1;2.15126934356856E-05
18.2;2.1684794983171E-05
18.3;2.2028998078142E-05
18.4;2.22010996256275E-05
18.5;2.2373201173113E-05
18.6;2.2717404268084E-05
18.7;2.28895058155694E-05
18.8;2.32337089105404E-05
18.9;2.34058104580259E-05
19;2.37500135529969E-05
19.1;2.40942166479678E-05
19.2;2.44384197429388E-05
19.3;2.46105212904243E-05
19.4;2.49547243853953E-05
19.5;2.51268259328807E-05
19.6;2.54710290278517E-05
19.7;2.56431305753372E-05
19.8;2.58152321228227E-05
19.9;2.61594352177936E-05
20;2.63315367652791E-05
20.1;2.68478414077356E-05
20.2;2.68478414077356E-05
20.3;2.70199429552211E-05
20.4;2.70199429552211E-05
20.5;2.71920445027066E-05
20.6;2.71920445027066E-05
20.7;2.7364146050192E-05
20.8;2.7364146050192E-05
20.9;2.75362475976775E-05
21;2.75362475976775E-05
21.1;2.75362475976775E-05
21.2;2.75362475976775E-05
21.3;2.7364146050192E-05
21.4;2.71920445027066E-05
21.5;2.70199429552211E-05
21.6;2.70199429552211E-05
21.7;2.68478414077356E-05
21.8;2.66757398602501E-05
21.9;2.65036383127646E-05
22;2.65036383127646E-05
22.1;2.63315367652791E-05
22.2;2.66757398602501E-05
22.3;2.70199429552211E-05
22.4;2.71920445027066E-05
22.5;2.75362475976775E-05
22.6;2.78804506926485E-05
22.7;2.8052552240134E-05
22.8;2.83967553351049E-05
22.9;2.87409584300759E-05
23;2.90851615250469E-05
23.1;2.97735677149888E-05
23.2;3.04619739049308E-05
23.3;3.09782785473872E-05
23.4;3.16666847373291E-05
23.5;3.23550909272711E-05
23.6;3.28713955697275E-05
23.7;3.35598017596695E-05
23.8;3.42482079496114E-05
23.9;3.47645125920679E-05
24;3.54529187820098E-05
24.1;3.61413249719517E-05
24.2;3.66576296144082E-05
24.3;3.71739342568647E-05
24.4;3.78623404468066E-05
24.5;3.8378645089263E-05
24.6;3.88949497317195E-05
24.7;3.9411254374176E-05
24.8;3.99275590166324E-05
24.9;4.04438636590889E-05
25;4.11322698490308E-05
25.1;4.13043713965163E-05
25.2;4.16485744914873E-05
25.3;4.19927775864582E-05
25.4;4.23369806814292E-05
25.5;4.26811837764002E-05
25.6;4.30253868713711E-05
25.7;4.33695899663421E-05
25.8;4.37137930613131E-05
25.9;4.4057996156284E-05
26;4.4402199251255E-05
26.1;4.4402199251255E-05
26.2;4.45743007987405E-05
26.3;4.45743007987405E-05
26.4;4.45743007987405E-05
26.5;4.45743007987405E-05
26.6;4.4746402346226E-05
26.7;4.4746402346226E-05
26.8;4.4746402346226E-05
26.9;4.4746402346226E-05
27;4.4746402346226E-05
27.1;4.52627069886824E-05
27.2;4.50906054411969E-05
27.3;4.49185038937115E-05
27.4;4.4746402346226E-05
27.5;4.4746402346226E-05
27.6;4.45743007987405E-05
