Age;Distribution
15;2.95963781305998E-05
15.1;3.02024473073357E-05
15.2;3.08085164840715E-05
15.3;3.15155971902633E-05
15.4;3.21216663669991E-05
15.5;3.28287470731909E-05
15.6;3.34348162499268E-05
15.7;3.40408854266626E-05
15.8;3.47479661328544E-05
15.9;3.53540353095902E-05
16;3.636415060415E-05
16.1;3.74752774281657E-05
16.2;3.81823581343575E-05
16.3;3.88894388405493E-05
16.4;3.94955080172851E-05
16.5;4.02025887234769E-05
16.6;4.09096694296687E-05
16.7;4.16167501358605E-05
16.8;4.23238308420523E-05
16.9;4.29299000187881E-05
17;4.40410268428038E-05
17.1;4.51521536668195E-05
17.2;4.59602459024673E-05
17.3;4.68693496675711E-05
17.4;4.76774419032188E-05
17.5;4.84855341388666E-05
17.6;4.92936263745144E-05
17.7;5.01017186101622E-05
17.8;5.10108223752659E-05
17.9;5.18189146109137E-05
18;5.30310529643854E-05
18.1;5.4142179788401E-05
18.2;5.49502720240488E-05
18.3;5.57583642596966E-05
18.4;5.65664564953444E-05
18.5;5.72735372015362E-05
18.6;5.8081629437184E-05
18.7;5.88897216728317E-05
18.8;5.95968023790235E-05
18.9;6.04048946146713E-05
19;6.1617032968143E-05
19.1;6.28291713216147E-05
19.2;6.36372635572624E-05
19.3;6.43443442634542E-05
19.4;6.5152436499102E-05
19.5;6.59605287347498E-05
19.6;6.66676094409416E-05
19.7;6.74757016765894E-05
19.8;6.82837939122371E-05
19.9;6.90918861478849E-05
20;7.02030129719006E-05
20.1;7.14151513253723E-05
20.2;7.22232435610201E-05
20.3;7.31323473261238E-05
20.4;7.39404395617716E-05
20.5;7.47485317974194E-05
20.6;7.55566240330671E-05
20.7;7.63647162687149E-05
20.8;7.72738200338187E-05
20.9;7.80819122694664E-05
21;7.91930390934821E-05
21.1;8.03041659174978E-05
21.2;8.11122581531456E-05
21.3;8.18193388593374E-05
21.4;8.25264195655292E-05
21.5;8.3334511801177E-05
21.6;8.40415925073688E-05
21.7;8.47486732135606E-05
21.8;8.54557539197524E-05
21.9;8.62638461554002E-05
22;8.72739614499599E-05
