Age,Distribution
15.0,0.026222283
15.1,0.026171172
15.2,0.026120194
15.3,0.02606935
15.4,0.026018639
15.5,0.025968062
15.6,0.025917618
15.7,0.025867307
15.8,0.02581713
15.9,0.025767087
16.0,0.025717177
16.1,0.025667401
16.2,0.025617759
16.3,0.025568251
16.4,0.025518877
16.5,0.025469637
16.6,0.025420531
16.7,0.02537156
16.8,0.025322724
16.9,0.025274022
17.0,0.025225455
17.1,0.025177023
17.2,0.025128727
17.3,0.025080566
17.4,0.02503254
17.5,0.02498465
17.6,0.024936897
17.7,0.024889279
17.8,0.024841798
17.9,0.024794453
18.0,0.024747246
18.1,0.024700175
18.2,0.024653242
18.3,0.024606446
18.4,0.024559788
18.5,0.024513268
18.6,0.024466886
18.7,0.024420643
18.8,0.024374539
18.9,0.024328574
19.0,0.024282748
19.1,0.024237062
19.2,0.024191516
19.3,0.02414611
19.4,0.024100845
19.5,0.024055721
19.6,0.024010738
19.7,0.023965897
19.8,0.023921198
19.9,0.023876641
20.0,0.023832226
20.1,0.023787955
20.2,0.023743827
20.3,0.023699843
20.4,0.023656003
20.5,0.023612307
20.6,0.023568757
20.7,0.023525352
20.8,0.023482092
20.9,0.023438979
21.0,0.023396013
21.1,0.023353193
21.2,0.023310521
21.3,0.023267997
21.4,0.023225622
21.5,0.023183396
21.6,0.023141318
21.7,0.023099391
21.8,0.023057615
21.9,0.023015989
22.0,0.022974514
22.1,0.022933192
22.2,0.022892022
22.3,0.022851006
22.4,0.022810142
22.5,0.022769433
22.6,0.022728879
22.7,0.022688481
22.8,0.022648238
22.9,0.022608151
23.0,0.022568222
23.1,0.022528451
23.2,0.022488838
23.3,0.022449384
23.4,0.02241009
23.5,0.022370957
23.6,0.022331984
23.7,0.022293174
23.8,0.022254525
23.9,0.02221604
24.0,0.022177719
24.1,0.022139563
24.2,0.022101572
24.3,0.022063747
24.4,0.022026089
24.5,0.021988599
24.6,0.021951277
24.7,0.021914125
24.8,0.021877143
24.9,0.021840332
25.0,0.021803692
25.1,0.021767225
25.2,0.021730932
25.3,0.021694814
25.4,0.02165887
25.5,0.021623103
25.6,0.021587513
25.7,0.021552101
25.8,0.021516868
25.9,0.021481815
26.0,0.021446943
26.1,0.021412253
26.2,0.021377747
26.3,0.021343424
26.4,0.021309286
26.5,0.021275334
26.6,0.021241569
26.7,0.021207993
26.8,0.021174606
26.9,0.021141409
27.0,0.021108404
27.1,0.021075592
27.2,0.021042973
27.3,0.02101055
27.4,0.020978322
27.5,0.020946293
27.6,0.020914461
27.7,0.02088283
27.8,0.0208514
27.9,0.020820172
28.0,0.020789148
28.1,0.020758329
28.2,0.020727717
28.3,0.020697312
28.4,0.020667116
28.5,0.020637131
28.6,0.020607357
28.7,0.020577797
28.8,0.020548451
28.9,0.020519322
29.0,0.02049041
29.1,0.020461717
29.2,0.020433245
29.3,0.020404995
29.4,0.020376968
29.5,0.020349167
29.6,0.020321593
29.7,0.020294247
29.8,0.020267131
29.9,0.020240247
30.0,0.020213597
30.1,0.020187181
30.2,0.020161003
30.3,0.020135063
30.4,0.020109363
30.5,0.020083905
30.6,0.020058692
30.7,0.020033724
30.8,0.020009003
30.9,0.019984532
31.0,0.019960312
31.1,0.019936346
31.2,0.019912635
31.3,0.019889181
31.4,0.019865986
31.5,0.019843052
31.6,0.019820381
31.7,0.019797975
31.8,0.019775837
31.9,0.019753969
32.0,0.019732371
32.1,0.019711048
32.2,0.01969
32.3,0.01966923
32.4,0.019648741
32.5,0.019628534
32.6,0.019608613
32.7,0.019588978
32.8,0.019569633
32.9,0.019550579
33.0,0.01953182
33.1,0.019513357
33.2,0.019495194
33.3,0.019477332
33.4,0.019459774
33.5,0.019442523
33.6,0.019425581
33.7,0.01940895
33.8,0.019392634
33.9,0.019376635
34.0,0.019360955
34.1,0.019345598
34.2,0.019330566
34.3,0.019315861
34.4,0.019301487
34.5,0.019287446
34.6,0.019273742
34.7,0.019260376
34.8,0.019247353
34.9,0.019234674
35.0,0.019222343
35.1,0.019210363
35.2,0.019198736
35.3,0.019187467
35.4,0.019176557
35.5,0.019166011
35.6,0.01915583
35.7,0.019146019
35.8,0.01913658
35.9,0.019127517
36.0,0.019118833
36.1,0.019110531
36.2,0.019102615
36.3,0.019095088
36.4,0.019087953
36.5,0.019081213
36.6,0.019074873
36.7,0.019068935
36.8,0.019063404
36.9,0.019058282
37.0,0.019053573
37.1,0.019049281
37.2,0.019045409
37.3,0.019041962
37.4,0.019038942
37.5,0.019036353
37.6,0.0190342
37.7,0.019032485
37.8,0.019031213
37.9,0.019030388
38.0,0.019030013
38.1,0.019030093
38.2,0.01903063
38.3,0.01903163
38.4,0.019033096
38.5,0.019035032
38.6,0.019037442
38.7,0.01904033
38.8,0.019043701
38.9,0.019047558
39.0,0.019051906
39.1,0.019056748
39.2,0.019062089
39.3,0.019067933
39.4,0.019074285
39.5,0.019081148
39.6,0.019088527
39.7,0.019096426
39.8,0.01910485
39.9,0.019113802
40.0,0.019123288
40.1,0.019133311
40.2,0.019143877
40.3,0.019154989
40.4,0.019166652
40.5,0.019178871
40.6,0.019191649
40.7,0.019204992
40.8,0.019218904
40.9,0.019233389
41.0,0.019248453
41.1,0.019264099
41.2,0.019280332
41.3,0.019297157
41.4,0.019314578
41.5,0.019332601
41.6,0.019351229
41.7,0.019370467
41.8,0.01939032
41.9,0.019410793
42.0,0.01943189
42.1,0.019453615
42.2,0.019475974
42.3,0.019498971
42.4,0.019522611
42.5,0.019546897
42.6,0.019571836
42.7,0.019597431
42.8,0.019623687
42.9,0.019650608
43.0,0.0196782
43.1,0.019706467
43.2,0.019735412
43.3,0.019765042
43.4,0.01979536
43.5,0.01982637
43.6,0.019858077
43.7,0.019890486
43.8,0.019923601
43.9,0.019957426
44.0,0.019991965
44.1,0.020027224
44.2,0.020063205
44.3,0.020099913
44.4,0.020137352
44.5,0.020175526
44.6,0.02021444
44.7,0.020254097
44.8,0.020294501
44.9,0.020335656
45.0,0.020377565
45.1,0.020420232
45.2,0.020463662
45.3,0.020507856
45.4,0.02055282
45.5,0.020598556
45.6,0.020645066
45.7,0.020692356
45.8,0.020740427
45.9,0.020789282
46.0,0.020838925
46.1,0.020889357
46.2,0.020940582
46.3,0.020992603
46.4,0.02104542
46.5,0.021099037
46.6,0.021153456
46.7,0.021208678
46.8,0.021264706
46.9,0.02132154
47.0,0.021379182
47.1,0.021437634
47.2,0.021496897
47.3,0.021556971
47.4,0.021617858
47.5,0.021679557
47.6,0.021742069
47.7,0.021805395
47.8,0.021869533
47.9,0.021934485
48.0,0.022000248
48.1,0.022066823
48.2,0.022134208
48.3,0.022202402
48.4,0.022271403
48.5,0.02234121
48.6,0.02241182
48.7,0.022483232
48.8,0.022555442
48.9,0.022628447
49.0,0.022702244
49.1,0.022776829
49.2,0.022852199
49.3,0.02292835
49.4,0.023005275
49.5,0.023082971
49.6,0.023161432
49.7,0.023240652
49.8,0.023320626
49.9,0.023401346
50.0,0.023482805
50.1,0.023564997
50.2,0.023647913
50.3,0.023731545
50.4,0.023815885
50.5,0.023900923
50.6,0.023986649
50.7,0.024073053
50.8,0.024160126
50.9,0.024247855
51.0,0.024336228
51.1,0.024425235
51.2,0.024514861
51.3,0.024605093
51.4,0.024695919
51.5,0.024787322
51.6,0.024879289
51.7,0.024971802
51.8,0.025064847
51.9,0.025158406
52.0,0.025252461
52.1,0.025346995
52.2,0.025441987
52.3,0.025537419
52.4,0.025633271
52.5,0.025729521
52.6,0.025826147
52.7,0.025923127
52.8,0.026020438
52.9,0.026118056
53.0,0.026215955
53.1,0.026314111
53.2,0.026412496
53.3,0.026511085
53.4,0.026609847
53.5,0.026708756
53.6,0.026807781
53.7,0.026906891
53.8,0.027006055
53.9,0.02710524
54.0,0.027204414
54.1,0.027303542
54.2,0.027402589
54.3,0.027501519
54.4,0.027600295
54.5,0.027698879
54.6,0.027797233
54.7,0.027895315
54.8,0.027993087
54.9,0.028090505
55.0,0.028187527
55.1,0.028284109
55.2,0.028380207
55.3,0.028475774
55.4,0.028570764
55.5,0.028665128
55.6,0.028758818
55.7,0.028851785
55.8,0.028943976
55.9,0.029035341
56.0,0.029125825
56.1,0.029215376
56.2,0.029303937
56.3,0.029391453
56.4,0.029477867
56.5,0.029563121
56.6,0.029647155
56.7,0.029729909
56.8,0.029811322
56.9,0.029891332
57.0,0.029969877
57.1,0.03004689
57.2,0.030122309
57.3,0.030196066
57.4,0.030268095
57.5,0.030338329
57.6,0.030406698
57.7,0.030473132
57.8,0.030537562
57.9,0.030599917
58.0,0.030660124
58.1,0.030718111
58.2,0.030773805
58.3,0.03082713
58.4,0.030878014
58.5,0.030926379
58.6,0.030972151
58.7,0.031015252
58.8,0.031055607
58.9,0.031093137
59.0,0.031127764
59.1,0.031159411
59.2,0.031188
59.3,0.031213451
59.4,0.031235685
59.5,0.031254625
59.6,0.03127019
59.7,0.031282302
59.8,0.031290882
59.9,0.031295851
60.0,0.031297131
60.1,0.031294644
60.2,0.031288311
60.3,0.031278056
60.4,0.031263802
60.5,0.031245472
60.6,0.031222991
60.7,0.031196285
60.8,0.03116528
60.9,0.031129903
61.0,0.031090083
61.1,0.03104575
61.2,0.030996833
61.3,0.030943267
61.4,0.030884985
61.5,0.030821922
61.6,0.030754016
61.7,0.030681206
61.8,0.030603434
61.9,0.030520642
62.0,0.030432777
62.1,0.030339786
62.2,0.03024162
62.3,0.030138232
62.4,0.030029577
62.5,0.029915615
62.6,0.029796306
62.7,0.029671616
62.8,0.029541513
62.9,0.029405968
63.0,0.029264956
63.1,0.029118455
63.2,0.028966447
63.3,0.028808919
63.4,0.02864586
63.5,0.028477265
63.6,0.028303133
63.7,0.028123466
63.8,0.027938271
63.9,0.02774756
64.0,0.02755135
64.1,0.027349662
64.2,0.027142522
64.3,0.026929962
64.4,0.026712018
64.5,0.026488732
64.6,0.026260149
64.7,0.026026324
64.8,0.025787312
64.9,0.025543178
65.0,0.025293989
65.1,0.02503982
65.2,0.024780751
65.3,0.024516866
65.4,0.024248258
65.5,0.023975023
65.6,0.023697264
65.7,0.023415088
65.8,0.023128609
65.9,0.022837949
66.0,0.02254323
66.1,0.022244585
66.2,0.021942149
66.3,0.021636064
66.4,0.021326478
66.5,0.021013542
66.6,0.020697415
66.7,0.020378259
66.8,0.020056241
66.9,0.019731534
67.0,0.019404315
67.1,0.019074765
67.2,0.018743069
67.3,0.018409418
67.4,0.018074005
67.5,0.017737026
67.6,0.017398683
67.7,0.01705918
67.8,0.016718722
67.9,0.016377519
68.0,0.016035783
68.1,0.015693726
68.2,0.015351565
68.3,0.015009515
68.4,0.014667794
68.5,0.014326622
68.6,0.013986215
68.7,0.013646795
68.8,0.013308577
68.9,0.012971782
69.0,0.012636624
69.1,0.01230332
69.2,0.011972083
69.3,0.011643124
69.4,0.011316652
69.5,0.010992871
69.6,0.010671986
69.7,0.010354193
69.8,0.010039688
69.9,0.00972866
70.0,0.009421295
70.1,0.009117772
70.2,0.008818265
70.3,0.008522942
70.4,0.008231967
70.5,0.007945494
70.6,0.007663671
70.7,0.007386641
70.8,0.007114537
70.9,0.006847485
71.0,0.006585604
71.1,0.006329004
71.2,0.006077787
71.3,0.005832046
71.4,0.005591866
71.5,0.005357321
71.6,0.00512848
71.7,0.0049054
71.8,0.004688128
71.9,0.004476706
72.0,0.004271162
72.1,0.004071519
72.2,0.003877788
72.3,0.003689973
72.4,0.003508067
72.5,0.003332056
72.6,0.003161917
72.7,0.002997618
72.8,0.002839119
72.9,0.002686371
73.0,0.002539319
73.1,0.002397899
73.2,0.00226204
73.3,0.002131665
73.4,0.002006688
73.5,0.00188702
73.6,0.001772563
73.7,0.001663216
73.8,0.00155887
73.9,0.001459414
74.0,0.001364731
74.1,0.001274699
74.2,0.001189196
74.3,0.001108093
74.4,0.00103126
74.5,0.000958565
74.6,0.000889874
74.7,0.00082505
74.8,0.000763958
74.9,0.000706459
75.0,0.000652416
75.1,0.000601692
75.2,0.000554148
75.3,0.000509649
75.4,0.00046806
75.5,0.000429247
75.6,0.000393079
75.7,0.000359426
75.8,0.00032816
75.9,0.000299157
76.0,0.000272296
76.1,0.000247458
76.2,0.000224527
76.3,0.000203391
76.4,0.000183943
76.5,0.000166078
76.6,0.000149694
76.7,0.000134695
76.8,0.000120988
76.9,0.000108484
77.0,9.71E-05
77.1,8.67E-05
77.2,7.74E-05
77.3,6.89E-05
77.4,6.12E-05
77.5,5.42E-05
77.6,4.80E-05
77.7,4.24E-05
77.8,3.74E-05
77.9,3.29E-05
78.0,2.89E-05
78.1,2.53E-05
78.2,2.21E-05
78.3,1.93E-05
78.4,1.68E-05
78.5,1.46E-05
78.6,1.26E-05
78.7,1.09E-05
78.8,9.40E-06
78.9,8.09E-06
79.0,6.94E-06
79.1,5.94E-06
79.2,5.07E-06
79.3,4.32E-06
79.4,3.67E-06
79.5,3.11E-06
79.6,2.63E-06
79.7,2.22E-06
79.8,1.86E-06
79.9,1.56E-06
80.0,1.31E-06
80.1,1.09E-06
80.2,9.06E-07
80.3,7.51E-07
80.4,6.20E-07
80.5,5.11E-07
80.6,4.20E-07
80.7,3.44E-07
80.8,2.81E-07
80.9,2.28E-07
81.0,1.85E-07
81.1,1.50E-07
81.2,1.21E-07
81.3,9.69E-08
81.4,7.76E-08
81.5,6.19E-08
81.6,4.92E-08
81.7,3.89E-08
81.8,3.07E-08
81.9,2.42E-08
82.0,1.89E-08
82.1,1.48E-08
82.2,1.15E-08
82.3,8.88E-09
82.4,6.85E-09
82.5,5.26E-09
82.6,4.02E-09
82.7,3.06E-09
82.8,2.32E-09
82.9,1.75E-09
83.0,1.32E-09
83.1,9.88E-10
83.2,7.36E-10
83.3,5.46E-10
83.4,4.04E-10
83.5,2.97E-10
83.6,2.17E-10
83.7,1.58E-10
83.8,1.15E-10
83.9,8.26E-11
84.0,5.92E-11
84.1,4.23E-11
84.2,3.00E-11
84.3,2.12E-11
84.4,1.49E-11
84.5,1.04E-11
84.6,7.24E-12
84.7,5.00E-12
84.8,3.44E-12
84.9,2.35E-12
85.0,1.60E-12
85.1,1.08E-12
85.2,7.24E-13
85.3,4.83E-13
85.4,3.20E-13
85.5,2.11E-13
85.6,1.38E-13
85.7,8.99E-14
85.8,5.81E-14
85.9,3.73E-14
86.0,2.38E-14
86.1,1.51E-14
86.2,9.48E-15
86.3,5.92E-15
86.4,3.67E-15
86.5,2.26E-15
86.6,1.38E-15
86.7,8.39E-16
86.8,5.05E-16
86.9,3.02E-16
87.0,1.79E-16
87.1,1.05E-16
87.2,6.14E-17
87.3,3.55E-17
87.4,2.04E-17
87.5,1.16E-17
87.6,6.55E-18
87.7,3.66E-18
87.8,2.03E-18
87.9,1.12E-18
88.0,6.08E-19
88.1,3.28E-19
88.2,1.75E-19
88.3,9.29E-20
88.4,4.88E-20
88.5,2.53E-20
88.6,1.30E-20
88.7,6.64E-21
88.8,3.35E-21
88.9,1.67E-21
89.0,8.24E-22
89.1,4.03E-22
89.2,1.95E-22
89.3,9.31E-23
89.4,4.40E-23
89.5,2.06E-23
89.6,9.51E-24
89.7,4.34E-24
89.8,1.96E-24
89.9,8.75E-25
90.0,3.86E-25
90.1,1.68E-25
90.2,7.22E-26
90.3,3.06E-26
90.4,1.28E-26
90.5,5.31E-27
90.6,2.17E-27
90.7,8.74E-28
90.8,3.47E-28
90.9,1.36E-28
91.0,5.26E-29
91.1,2.00E-29
91.2,7.52E-30
91.3,2.78E-30
91.4,1.01E-30
91.5,3.64E-31
91.6,1.29E-31
91.7,4.48E-32
91.8,1.54E-32
91.9,5.18E-33
92.0,1.72E-33
92.1,5.61E-34
92.2,1.80E-34
92.3,5.68E-35
92.4,1.76E-35
92.5,5.37E-36
92.6,1.61E-36
92.7,4.73E-37
92.8,1.36E-37
92.9,3.87E-38
93.0,1.08E-38
93.1,2.93E-39
93.2,7.85E-40
93.3,2.06E-40
93.4,5.30E-41
93.5,1.33E-41
93.6,3.30E-42
93.7,7.97E-43
93.8,1.89E-43
93.9,4.37E-44
94.0,9.91E-45
94.1,2.20E-45
94.2,4.76E-46
94.3,1.01E-46
94.4,2.09E-47
94.5,4.22E-48
94.6,8.34E-49
94.7,1.61E-49
94.8,3.03E-50
94.9,5.55E-51
95.0,9.93E-52
95.1,1.73E-52
95.2,2.94E-53
95.3,4.87E-54
95.4,7.84E-55
95.5,1.23E-55
95.6,1.87E-56
95.7,2.78E-57
95.8,4.00E-58
95.9,5.61E-59
96.0,7.62E-60
96.1,1.01E-60
96.2,1.29E-61
96.3,1.60E-62
96.4,1.93E-63
96.5,2.25E-64
96.6,2.54E-65
96.7,2.78E-66
96.8,2.95E-67
96.9,3.02E-68
97.0,2.99E-69
97.1,2.85E-70
97.2,2.64E-71
97.3,2.35E-72
97.4,2.02E-73
97.5,1.68E-74
97.6,1.34E-75
97.7,1.03E-76
97.8,7.63E-78
97.9,5.44E-79
98.0,3.72E-80
98.1,2.45E-81
98.2,1.55E-82
98.3,9.41E-84
98.4,5.48E-85
98.5,3.06E-86
98.6,1.63E-87
98.7,8.36E-89
98.8,4.10E-90
98.9,1.92E-91
99.0,8.58E-93
99.1,3.67E-94
99.2,1.50E-95
99.3,5.81E-97
99.4,2.15E-98
99.5,7.60E-100
99.6,2.55E-101
99.7,8.14E-103
99.8,2.47E-104
99.9,7.11E-106
100.0,1.94E-107
100.1,5.03E-109
100.2,1.23E-110
100.3,2.87E-112
100.4,6.29E-114
100.5,1.30E-115
100.6,2.56E-117
100.7,4.72E-119
100.8,8.22E-121
100.9,1.35E-122
101.0,2.08E-124
101.1,3.02E-126
101.2,4.11E-128
101.3,5.25E-130
101.4,6.28E-132
101.5,7.04E-134
101.6,7.39E-136
101.7,7.25E-138
101.8,6.64E-140
101.9,5.67E-142
102.0,4.51E-144
102.1,3.34E-146
102.2,2.30E-148
102.3,1.47E-150
102.4,8.74E-153
102.5,4.81E-155
102.6,2.45E-157
102.7,1.15E-159
102.8,5.01E-162
102.9,2.01E-164
103.0,7.43E-167
103.1,2.53E-169
103.2,7.91E-172
103.3,2.27E-174
103.4,5.98E-177
103.5,1.44E-179
103.6,3.18E-182
103.7,6.40E-185
103.8,1.17E-187
103.9,1.96E-190
104.0,2.99E-193
104.1,4.13E-196
104.2,5.18E-199
104.3,5.88E-202
104.4,6.03E-205
104.5,5.59E-208
104.6,4.68E-211
104.7,3.52E-214
104.8,2.38E-217
104.9,1.45E-220
105.0,7.87E-224
