Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-7.19259933589031;-0.962631876037815;-5.01857638647987;-6.31521166281119;-8.07422306667168;-3.05382205827752;-9.20899045830432;-1.9741942120523;-4.52950464364056;-2.63527223768869;-2.90067969644235e-12;-7.45905802529618;-3.04257854101203;-7.23820725202196;-3.4515777523646;-2.94353959209126;-3.13551220794744;-2.17929760749176;-13.1322749109892;-3.53243847895476;-4.7952135871155;-2.6859123360028;-2.5801790110147;-8.92714032962678;-4.93466603508293;-5.87596151740777;-7.50771965695761;-6.70908982626459;-12.3496569395972;-3.74570987640924;-6.26439721973798;-13.0189320991654;-5.41918175378561;-2.61507783006101;-4.35592299832037;-1.84509499190918;-2.43416943659869;-12.9315971258624;-9.5699167010959;-4.22992928527209;-8.4423913114265;-4.70047536594179;-9.16126089222233;-3.29058382831932;-12.0279518793192;-4.58424147543759;-4.56332710085444;-4.68740427452284;-3.62564976747913;-2.90010839168926;-4.90929136346403;-3.24006131348898;-7.66985687821645;-5.05146677265591;-2.56477178702024;-7.33193740652883;-0.51277139097816;-1.65525387646292;-22.0014604289658;-14.624094199582;-1.84387866612355;-4.41787983088479;-4.1459536360949;-5.15471899697545;-8.18627447181314;-8.06196756175177;-3.63596835977133;-5.14251696854424;-6.02850410229043
15.1;-7.17310760646568;-0.901397417347197;-5.01410651843346;-6.27701927215883;-8.04240821535281;-3.03945093631802;-9.14650756157769;-1.88224699712403;-4.40312871354263;-2.60625289323273;-2.90067969644235e-12;-7.44483815998104;-3.02754750014606;-7.19115364301234;-3.22877850079252;-2.85226623177237;-3.07819510825378;-2.11168706236915;-13.084680900724;-3.51453065110515;-4.78146839015516;-2.65378851546652;-2.55365838093504;-8.89977689046272;-4.90655277519095;-5.85867235941083;-7.49379353061106;-6.66508042037804;-12.3269969885602;-3.66461303025538;-6.17455975393969;-12.8545880484078;-5.40802895949199;-2.60905578024382;-4.3249141845957;-1.81771548404088;-2.42399815768732;-12.8812370841817;-9.54746243790832;-4.19033500982211;-8.40195711493582;-4.68418065531606;-9.12673411358787;-3.28384783552846;-11.9949762759838;-4.56679533123906;-4.55009346205367;-4.68060556734049;-3.62276515609614;-2.74551431694317;-4.81206863500622;-3.20169938690866;-7.6210709215403;-5.03225039467357;-2.55415036627555;-7.29217468257456;-0.504268599673803;-1.62753119981205;-21.9666430138597;-14.603918042711;-1.82254146172385;-4.35393674331429;-4.10700934441666;-5.0889432033697;-8.13422063082396;-8.04082994082033;-3.58292280640168;-5.10408095888654;-6.01311122527635
15.2;-7.1537448249736;-0.84300341136181;-5.0096367840076;-6.23908169707672;-8.01080368692362;-3.02509018864281;-9.08443750836847;-1.79238634544894;-4.27778278636446;-2.57730050967533;-2.90067969644235e-12;-7.43061841291461;-3.01252795055392;-7.14410170316879;-3.00946547816187;-2.76150063160941;-3.02141292697864;-2.04470814690522;-13.0374010492888;-3.49663265519652;-4.76772479035805;-2.62195390816596;-2.52737142242351;-8.87259417052427;-4.87863091391507;-5.84138405724807;-7.47986751225681;-6.62136395526956;-12.3043370397983;-3.58368879485651;-6.08533195357737;-12.6902608864246;-5.39687672498583;-2.60303661039062;-4.29412281488786;-1.79065984772578;-2.41383692197254;-12.8312094608311;-9.52500821071524;-4.15102593495966;-8.36179017616812;-4.66788842071388;-9.09243536448377;-3.27711360928738;-11.9620006793637;-4.54935238249636;-4.53686169323005;-4.67380729278324;-3.61988077303675;-2.59355005397446;-4.71492339232136;-3.16340087208833;-7.57260814212054;-5.01316325908111;-2.54353844900436;-7.25267548733327;-0.495874645349216;-1.59999564246803;-21.9318254242345;-14.5837418860249;-1.80143163799683;-4.29046841552401;-4.06809074328835;-5.02362814231007;-8.08251116930184;-8.01969246382748;-3.5303069298565;-5.06590758819904;-5.99771892934039
15.3;-7.13450930395491;-0.787436489677527;-5.00516718379685;-6.20139568145892;-7.97940673112561;-3.01073995765648;-9.02277490762637;-1.70468546562555;-4.15347751500488;-2.5484168926078;-2.90067969644235e-12;-7.41639878578936;-2.99752005714581;-7.09705151284196;-2.79404189591059;-2.67128778705672;-2.96516619199415;-1.97840514249122;-12.9904312367154;-3.47874466323942;-4.75398280963699;-2.59040648769958;-2.50131609516579;-8.84558980178682;-4.85089806467089;-5.82409662580057;-7.46594160340847;-6.57793668084696;-12.2816770933636;-3.50295130334017;-5.99670724619669;-12.5259674438299;-5.38572505651638;-2.59702033649888;-4.26354634247052;-1.76392600237605;-2.40368582195642;-12.7815098964606;-9.50255402033392;-4.11199909299904;-8.32188700238583;-4.65159870242004;-9.05836165790672;-3.27038116106464;-11.9290250896843;-4.53191268483573;-4.52363181902156;-4.66700945377441;-3.61699661894233;-2.44441020921897;-4.61786346879153;-3.12516916779318;-7.52446435056029;-4.99420370053862;-2.53293612795372;-7.21343640006085;-0.487589034671959;-1.57265161238712;-21.8970074855709;-14.5635657295277;-1.78054711060241;-4.22747163656637;-4.02919914760779;-4.95876935547553;-8.03114160681886;-7.99855513384709;-3.47811868786315;-5.02799369450884;-5.98232722347346
15.4;-7.11539938895284;-0.734671678822819;-5.00069771839839;-6.16395803494246;-7.94821465160081;-2.99640038749411;-8.96151447482237;-1.61921702331925;-4.03022603082062;-2.51960388659558;-2.90067969644235e-12;-7.40217928032196;-2.982523986923;-7.05000315624415;-2.582984457507;-2.58167601500703;-2.90945567610825;-1.9128232213917;-12.9437674235637;-3.46086685005006;-4.74024247020016;-2.55914428330222;-2.4754904026754;-8.81876146253613;-4.82335188923548;-5.80681008020661;-7.45201580560077;-6.53479492310861;-12.2590171493094;-3.4224157704822;-5.90867929809886;-12.3617245534414;-5.37457396040201;-2.59100697463804;-4.23318227527899;-1.73751188439714;-2.39354495078567;-12.7321341169309;-9.48009986760026;-4.07325159278092;-8.28224416944736;-4.63531154136185;-9.02451006530775;-3.26365050239683;-11.8960495071782;-4.51447629483024;-4.51040386438352;-4.66021205325668;-3.61411269445595;-2.2983087867327;-4.52089747364474;-3.08700774280803;-7.47663544107976;-4.97537008641192;-2.52234349658984;-7.17445406779986;-0.47941125317915;-1.54550350957382;-21.8621890233494;-14.5433895732231;-1.75988582416244;-4.16494340303533;-3.99033590840836;-4.89436255324039;-7.98010755191391;-7.97741795401862;-3.42635620117991;-4.99033618447462;-5.96693611680483
15.5;-7.0964134576586;-0.684672625142487;-4.996228388412;-6.12676563124152;-7.91722480449797;-2.98207162403577;-8.90065102924009;-1.53605220387434;-3.90804412922175;-2.49086337544197;-2.90067969644235e-12;-7.38795989825367;-2.96753990899577;-7.00295672163433;-2.37684823715545;-2.49271706939109;-2.85428239154275;-1.84800831187281;-12.8974056488374;-3.44299939328868;-4.72650379455487;-2.52816537771305;-2.44989239081047;-8.79210687616953;-4.79599009650437;-5.78952443586604;-7.43809012038999;-6.49193508223859;-12.2363572076903;-3.34209856233879;-5.82124201577941;-12.1975490506619;-5.36342344303093;-2.58499654094966;-4.20302817452188;-1.71141544486263;-2.3834144022518;-12.6830779311077;-9.45764575336911;-4.03478061792119;-8.2428583200378;-4.61902697911904;-8.9908777150798;-3.25692164488888;-11.8630739320858;-4.49704327001517;-4.49717785459247;-4.65341509419222;-3.61122900022238;-2.15547842581621;-4.42403486536544;-3.04892013714152;-7.42911738940084;-4.95666081592526;-2.51176064909967;-7.13572520364247;-0.471340765710559;-1.51855572093387;-21.8273698630508;-14.5232134171152;-1.73944575108815;-4.10288091883626;-3.95150241404151;-4.83040361372335;-7.92940469983392;-7.95628092754855;-3.37501775132427;-4.95293203171694;-5.95154561860425
15.6;-7.07754991908437;-0.637392040918398;-4.99175919444012;-6.08981540653559;-7.88643459712355;-2.96775381492095;-8.84017949135599;-1.45525970527146;-3.7869504632512;-2.46219728241539;-2.90067969644235e-12;-7.37374064135049;-2.95256799460152;-6.95591230151173;-2.1762682866638;-2.40446623388834;-2.79964758388843;-1.78400694055688;-12.851342027966;-3.4251424734981;-4.71276680551149;-2.49746790508182;-2.42452014633097;-8.76562381003574;-4.76881044128815;-5.77223970844484;-7.42416454935412;-6.44935363076414;-12.2136972685621;-3.26201726803826;-5.73438954777043;-12.0334577739243;-5.35227351086201;-2.57898905164754;-4.17308165333644;-1.6856346472761;-2.37329427079129;-12.6343372287266;-9.4351916785147;-3.99658342511128;-8.20372616195669;-4.60274505793367;-8.95746179109414;-3.25019460021458;-11.8300983646558;-4.47961366890351;-4.48395381525016;-4.64661857956283;-3.60834553688809;-2.01616880891795;-4.32728603131622;-3.01090996317465;-7.38190625070075;-4.9380743193412;-2.5011876803924;-7.0972465850495;-0.463377016855767;-1.49181261494424;-21.7925498301556;-14.5030372612079;-1.71922489045322;-4.04128159501586;-3.91270009138708;-4.76688858196094;-7.87902883034879;-7.93514405771176;-3.32410177825091;-4.91577827520241;-5.93615573828418
15.7;-7.05880721276272;-0.592772353795255;-4.9872901370878;-6.05310435790943;-7.85584148663595;-2.9534471095629;-8.78009488030499;-1.37690468001852;-3.66696674354568;-2.43360757043741;-2.90067969644235e-12;-7.35952151140387;-2.93760841712257;-6.9088699928188;-1.98195626592787;-2.31698238542573;-2.74555272550218;-1.72086605140847;-12.8055727508516;-3.40729627414262;-4.69903152618732;-2.46705004891185;-2.39937179549541;-8.73931007431161;-4.74181072314749;-5.75495591387953;-7.41023909409328;-6.40704711177297;-12.1910373319819;-3.18219077334562;-5.64811628689057;-11.869467565213;-5.3411241704255;-2.5729845230178;-4.14334037548584;-1.66016746542042;-2.36318465148553;-12.5859079783264;-9.41273764393115;-3.95865734246777;-8.16484446646054;-4.58646582072021;-8.92425953128338;-3.24346938011662;-11.7971228051449;-4.46218755100185;-4.47073177228744;-4.63982251237005;-3.60546230510128;-1.88064408587335;-4.23066237393587;-2.97298090674719;-7.3349981576321;-4.91960905716674;-2.49062468610078;-7.05901505222341;-0.455519431414617;-1.46527853614884;-21.7577287501444;-14.4828611055052;-1.6992212669111;-3.98014304963842;-3.87393040709077;-4.70381366919971;-7.82897580563723;-7.91400734785303;-3.27360687796788;-4.87887201767962;-5.9207664854019
15.8;-7.04018380797151;-0.550746534007403;-4.98282121696278;-6.0166295418428;-7.82544297878107;-2.93915165916283;-8.72039231142853;-1.30104764906524;-3.54811794252868;-2.40509624222886;-2.90067969644235e-12;-7.3453025102307;-2.92266135210395;-6.86182989715325;-1.79469021775618;-2.23032802145621;-2.69199950831289;-1.65863280118955;-12.7600940799777;-3.38946098164704;-4.68529798001063;-2.43691004003878;-2.37444550269542;-8.71316352091471;-4.71498878526493;-5.73767306838186;-7.39631375623;-6.36501213718809;-12.168377398008;-3.10263933550712;-5.5624168729067;-11.7055952706682;-5.3299754283238;-2.56698297141904;-4.11380205409676;-1.6350118812948;-2.35308564006074;-12.5377862252483;-9.39028365053287;-3.92099976792884;-8.12621006665804;-4.57018931107586;-8.89126822626958;-3.23674599640717;-11.7641472538187;-4.44476497682634;-4.45751175196838;-4.63302689563528;-3.60257930551182;-1.74917918563838;-4.13417640386303;-2.93513672817356;-7.28838931840695;-4.90126351938464;-2.48007176258247;-7.02102750653313;-0.447767414870157;-1.43895779948998;-21.7229064484978;-14.4626849500115;-1.67943292965537;-3.91946310769368;-3.8351948688283;-4.64117525230073;-7.77924156824092;-7.89287080138852;-3.22353180007963;-4.84221042416488;-5.90537786966169
15.9;-7.02167820298312;-0.511239068017842;-4.97835243467544;-5.98038807274819;-7.79523662666785;-2.92486761672408;-8.6610669939017;-1.22774341482082;-3.43043250004603;-2.37666534041137;-2.90067969644235e-12;-7.33108363967391;-2.90772697727098;-6.81479212099201;-1.61529572352094;-2.14456924339874;-2.63898983600378;-1.5973543316852;-12.7149023485779;-3.37163678543596;-4.67156619072459;-2.40704615464399;-2.34973946912722;-8.68718204245003;-4.68834251335205;-5.72039118844352;-7.3823885374095;-6.32324538609817;-12.1457174667003;-3.02338465876187;-5.47728619561131;-11.5418577412975;-5.31882729123225;-2.56098441328241;-4.08446445043577;-1.61016588313965;-2.34299733288774;-12.4899680896979;-9.36782969925497;-3.88360816769558;-8.08781985595603;-4.55391557329083;-8.85848521803562;-3.23002446096801;-11.7311717109516;-4.42734600791896;-4.44429378089425;-4.62623173239994;-3.59969653877133;-1.622054934992;-4.03784184030701;-2.89738126317998;-7.24207601494228;-4.88303622470894;-2.46952900692118;-6.98328090898882;-0.440120353873306;-1.41285468448669;-21.6880827506965;-14.4425087947308;-1.65985795142189;-3.85923980102109;-3.79649502659606;-4.57896987325063;-7.72982213908424;-7.87173442180725;-3.17387544524571;-4.80579072047563;-5.88998990091716
