Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.0251935483178;-0.962631876038096;-9.57459587390941;-5.46974353076759;-7.94364445427476;-5.82093661667958;-8.35460358187726;-1.97419421205247;-2.72321895934132;-3.23914676272209;-25.4410657375582;-7.25063988984207;-7.44272422071807;-36.0436533891172;-3.45157775237762;-2.84859985096819;-3.0551225065991;-1.58530688296665;-11.9924202528585;-5.12519680279502;-5.65440595509872;-3.67065764928093;-2.5801790110147;-4.67526330595273;-5.8535001282273;-6.67151552849499;-10.3515707444523;-7.011992723672;-9.55461705237753;-4.34894282852333;-10.2235795629158;-6.9640009820497;-4.7382409545769;-4.69140242668523;-2.00514854345047;-1.56135094712287;-2.98285917502699;-18.9657399964388;-10.0316083404502;-2.84440836720103;-10.2688044111117;-7.1494926032291;-6.47773269296498;-7.81645552942113;-8.50689297964735;-2.22888417715459;-8.15156081030751;-2.61145230433302;-0.315858205735919;-2.90010839169297;-2.33131447418157;-2.78383153636862;-5.90051894356555;-8.21151197715535;-9.55903511890826;-6.68389650784196;-0.512771390978152;-1.22575805622607;-13.6435204521288;-7.7127569467507;-1.55791723657828;-4.34773185384155;-3.67255552968995;-4.75572145414624;-4.67408744989227;-6.4266539227285;-3.23221906295169;-3.84041450277239;-6.25281175927819
15.1;-12.9972930602548;-0.901397417347463;-9.54343890994704;-5.4482011169483;-7.91040308950564;-5.77473214128903;-8.29762673230961;-1.8822469971242;-2.62088292075159;-3.16866221892974;-24.7064712463549;-7.22945998252541;-7.38704211302161;-36.0436533891172;-3.2287785008047;-2.75116973931339;-3.00749635318314;-1.53321594469195;-11.9508065657928;-5.10147613392144;-5.63076032782496;-3.62961030165116;-2.55365838093504;-4.67269410246681;-5.83316617794361;-6.63275711342346;-10.3327820535094;-6.95317101737522;-9.54362373269235;-4.25608616925701;-10.1023202297475;-6.89154826581814;-4.72717378654134;-4.67417133044931;-1.99573731669508;-1.53766441396016;-2.96766310585111;-18.9009342904961;-9.9896760731;-2.79996165775418;-10.2186927608713;-7.1042271483195;-6.46916081065425;-7.76511834211848;-8.46720434212081;-2.22035047123253;-8.10659033911867;-2.61612112633899;-0.331489773867625;-2.74551431694683;-2.25839702308561;-2.74610304452015;-5.87857785852742;-8.1796360839334;-9.51124437958811;-6.65825619027473;-0.504268599673796;-1.2103862697303;-13.6024239967329;-7.69939560081566;-1.5371807458698;-4.27576902976072;-3.6353971556586;-4.68739039156439;-4.63717041468173;-6.41110008087841;-3.17737640456559;-3.80550532135833;-6.23816567015111
15.2;-12.9693923528143;-0.843003411362057;-9.51248767290314;-5.42666070905386;-7.87738154285612;-5.72883923144258;-8.2410267713037;-1.7923863454491;-2.52002982545878;-3.09885828872204;-23.9767255990115;-7.20842019979597;-7.33172944897266;-36.0436533891172;-3.00946547817322;-2.65501995194267;-2.95998836924142;-1.48186511817044;-11.9094675695974;-5.07775891108655;-5.60711671259272;-3.58887930556844;-2.52737142242351;-4.67012496125965;-5.81283344215139;-6.59425649206629;-10.3139933740572;-6.89474085316206;-9.53263042166781;-4.16396510670197;-9.98186189131077;-6.81957907772023;-4.71610771223616;-4.65694303107942;-1.98634000093764;-1.5142852904486;-2.95247954505619;-18.8365563481309;-9.94802066827559;-2.75564251637928;-10.168911973729;-7.05926214573806;-6.4605890424479;-7.71412112431352;-8.42777800570239;-2.21182562572686;-8.06191730890453;-2.62079166771292;-0.347768784046526;-2.59355005397807;-2.18657031963182;-2.70847256325603;-5.85663812459749;-8.14797087625574;-9.46345380935868;-6.63261671753896;-0.495874645349208;-1.19511007400065;-13.5615988091149;-7.68603433580811;-1.51669707087937;-4.2043534415157;-3.59827646491652;-4.61955332222285;-4.60051025058024;-6.39554663721051;-3.1230250252474;-3.77085399964163;-6.22352000086704
15.3;-12.9414912049043;-0.787436489677755;-9.48173946637742;-5.40512235056845;-7.84457694211;-5.68325406207827;-8.18479879678995;-1.7046854656257;-2.42071213538424;-3.02973927943227;-23.2517652034558;-7.18751870858462;-7.27678147761882;-36.0436533891172;-2.79404189592107;-2.5601882135081;-2.912604486521;-1.43128536046819;-11.8683996621186;-5.05404521647884;-5.5834751573633;-3.54846202544591;-2.50131609516578;-4.66755588248993;-5.79250194572258;-6.55601034651893;-10.2952047063136;-6.83669726898308;-9.52163711939962;-4.07258068906168;-9.86219411418404;-6.74808743082175;-4.70504274372199;-4.63971757671234;-1.97695670666554;-1.49121109608934;-2.93730867347888;-18.77260055927;-9.90663849778421;-2.71145633230756;-10.1194577144261;-7.01459371983449;-6.45201738932669;-7.66345946727088;-8.38861054121077;-2.20330970717582;-8.01753784203446;-2.62546392107192;-0.364710945845776;-2.44441020922252;-2.11585523705147;-2.67094418724949;-5.83469977166036;-8.11651359811317;-9.41566341649662;-6.60697811154688;-0.487589034671952;-1.17992634473242;-13.5210413316976;-7.67267315281609;-1.49646384422618;-4.13348263676219;-3.56119514476554;-4.55220643277977;-4.56410398374959;-6.37999359795588;-3.06916443542851;-3.73645790864043;-6.2088747576078
15.4;-12.9135893954344;-0.734671678823029;-9.45119164669859;-5.38358608591035;-7.81198647139753;-5.63797289134826;-8.12893800429503;-1.61921702331939;-2.32298550592113;-2.9613100242275;-22.5315277104868;-7.16675371168419;-7.22219354486401;-36.0436533891172;-2.58298445751664;-2.46671475400639;-2.86535084780153;-1.38150720886107;-11.8275993116153;-5.03033513422154;-5.55983571123261;-3.50835591282196;-2.4754904026754;-4.66498686631675;-5.77217171403528;-6.51801542531034;-10.2764160505009;-6.77903540765767;-9.51064382598459;-3.98193475957197;-9.74330667687583;-6.67706747634661;-4.69397889318994;-4.62249501629686;-1.96758754484736;-1.46843935839197;-2.92215067424351;-18.7090614234846;-9.86552600442426;-2.66740868558626;-10.0703257325802;-6.9702180727657;-6.44344585227975;-7.61312905032101;-8.34969858677109;-2.19480278245678;-7.97344813739897;-2.63013787905896;-0.382331449908373;-2.29830878673619;-2.0462731598409;-2.63352210609868;-5.81276283025761;-8.08526154749161;-9.36787320968321;-6.58134039477741;-0.479411253179143;-1.16483205629229;-13.4807480764359;-7.65931205294227;-1.47647871929013;-4.06315447389383;-3.5241549284123;-4.48534612644472;-4.5279487072372;-6.36444096944278;-3.01579435025072;-3.70231448470365;-6.19422994664589
15.5;-12.8856867033157;-0.684672625142684;-9.42084162155957;-5.36205196045158;-7.77960736973929;-5.59299205867229;-8.07343968448097;-1.53605220387448;-2.22690858284702;-2.89357587740255;-21.815951981607;-7.14612344682096;-7.16796109110223;-36.0436533891172;-2.37684823716425;-2.37464221544129;-2.81823381179754;-1.33256062586551;-11.787063054936;-5.00662875041685;-5.53619842445755;-3.46855850436462;-2.44989239081046;-4.66241791289959;-5.75184277298399;-6.4802685417117;-10.2576274068452;-6.72175051446114;-9.49965054152055;-3.89202998503759;-9.62518956517467;-6.60651350120226;-4.68291617296305;-4.60527539960691;-1.9582326269273;-1.44596761143519;-2.90700573278101;-18.6459335471524;-9.82467970014908;-2.62350535044515;-10.0215118604916;-6.92613148253233;-6.4348744323047;-7.56312563863905;-8.31103884607795;-2.18630491878513;-7.92964446844673;-2.63481353434286;-0.400644894311601;-2.15547842581963;-1.97784586571503;-2.59621060507119;-5.79082733160227;-8.05421207497564;-9.32008319802505;-6.55570359029095;-0.471340765710552;-1.14982428350745;-13.4407156230171;-7.64595103730413;-1.45673936917054;-3.99336712501084;-3.48715759623191;-4.41896902336195;-4.49204157935494;-6.34888875809816;-2.96291468541009;-3.66842122788371;-6.17958557434574
15.6;-12.8577829074608;-0.637392040918578;-9.39068684869648;-5.34052002053797;-7.747436929637;-5.54830798285698;-8.01829922076542;-1.45525970527158;-2.13254272951152;-2.82654270778171;-21.1049780579019;-7.1256261857561;-7.11407964893133;-36.0436533891172;-2.17626828667174;-2.28401551903025;-2.7712599578264;-1.28447483800791;-11.7467874957544;-4.9829261531913;-5.51256334848305;-3.42906741991535;-2.42452014633097;-4.65984902239835;-5.73151514898999;-6.44276657209972;-10.2388387755772;-6.66483793479867;-9.48865726610646;-3.80286988475853;-9.50783296772969;-6.53641992563303;-4.67185459549755;-4.58805877725491;-1.94889206481941;-1.42379339452281;-2.89187403684754;-18.5832116407094;-9.78409616428982;-2.57975229838775;-9.97301201102127;-6.88233030107936;-6.4263031304077;-7.51344508109664;-8.27262808671423;-2.17781618371314;-7.88612318128498;-2.63949087961822;-0.419665211202272;-2.0161688089213;-1.91059539538145;-2.55901406569404;-5.76889330759325;-8.023362582397;-9.2722933910743;-6.53006772174393;-0.46337701685576;-1.13490020346064;-13.4009406171178;-7.63259010703415;-1.43724348570319;-3.92411907894009;-3.45020497704501;-4.3530719611187;-4.45637982210931;-6.33333697044916;-2.91052555271133;-3.63477570035522;-6.16494164716511
15.7;-12.829877786784;-0.59277235379542;-9.36072483460994;-5.31899031350971;-7.71547249570926;-5.50391716027805;-7.96351208701979;-1.37690468001864;-2.03995167828217;-2.76021689003952;-20.3985471299353;-7.10526023341578;-7.06054484094387;-36.0436533891172;-1.98195626593495;-2.19488168889098;-2.72443609019858;-1.23727816986142;-11.706769302862;-4.95922743274189;-5.48893053596967;-3.38988036056927;-2.39937179549541;-4.6572801949733;-5.71118886901192;-6.40550645437265;-10.2200501569317;-6.60829311196293;-9.47766399984233;-3.7144588596084;-9.39122727186028;-6.46678130099828;-4.66079417338435;-4.57084520070518;-1.93956597090163;-1.4019142509337;-2.87675577654307;-18.5208905159904;-9.74377204183508;-2.53615570096556;-9.9248221755362;-6.83881095245821;-6.41773194760355;-7.46408330818376;-8.23446313852385;-2.16933664512882;-7.84288069284109;-2.64416990760539;-0.439405594400892;-1.88064408587661;-1.84454391045656;-2.52193696617479;-5.74696079083041;-7.99271052152625;-9.22450379885019;-6.50443281340482;-0.45551943141461;-1.12005709728858;-13.3614197687179;-7.61922926328002;-1.41798877853408;-3.85540914427153;-3.41329894940677;-4.28765199536639;-4.42096071968065;-6.31778561312469;-2.85862725531065;-3.60137552487789;-6.15029817165645
15.8;-12.8019711202011;-0.550746534007556;-9.33095313332685;-5.29746288772219;-7.68371146337065;-5.45981616312343;-7.9090738453427;-1.30104764906536;-1.94920110142719;-2.69460529374985;-19.6966015086452;-7.08502392704888;-7.00735237759211;-36.0436533891172;-1.79469021776243;-2.10728962852038;-2.67776924228146;-1.19099787510749;-11.6670052085146;-4.93553268138337;-5.46530004082177;-3.35099510678904;-2.37444550269542;-4.65471143078512;-5.69086396055654;-6.3684851864168;-10.2012615511481;-6.55211158497233;-9.46667074282932;-3.62680222098844;-9.27536305959372;-6.39759230767227;-4.64973491935035;-4.55363472228774;-1.93025445800965;-1.38032772676405;-2.86165114432965;-18.458965083654;-9.70370404176518;-2.49272193219765;-9.87693842192008;-6.79556993104818;-6.40916088491573;-7.41503632999792;-8.19654089203611;-2.16086637125463;-7.79991348908264;-2.64885061105045;-0.459878428701456;-1.74917918564155;-1.77971354009602;-2.48498388163967;-5.72502981462953;-7.96225339280597;-9.17671443186272;-6.47879889016932;-0.44776741487015;-1.10529235198275;-13.3221498504672;-7.60586850720486;-1.39897297424814;-3.78723645237273;-3.37644144290587;-4.22270640054194;-4.38578161694974;-6.30223469285701;-2.80722028262549;-3.56821838330148;-6.1356551544682
15.9;-12.7740626866297;-0.511239068017981;-9.30136934520135;-5.27593779256739;-7.65215127755258;-5.41600163769448;-7.85498014390551;-1.22774341482093;-1.86035809828203;-2.62971526997377;-18.9990845972452;-7.06491563541133;-6.9544980551245;-36.0436533891172;-1.61529572352637;-2.0212898469654;-2.63126668018635;-1.14565996658157;-11.6274920068305;-4.91184199359644;-5.44167191821651;-3.31240951654972;-2.34973946912722;-4.65214272999492;-5.67054045168967;-6.33169982462167;-10.1824729584704;-6.49628898648712;-9.45567749516965;-3.53990621933818;-9.16023110393051;-6.32884775306259;-4.63867684625991;-4.53642739521211;-1.92095763943066;-1.3590313698604;-2.84656033504951;-18.3974303506884;-9.66388893543903;-2.44945757058742;-9.82935689264705;-6.75260379983476;-6.40058994337646;-7.36630023429834;-8.15885829693993;-2.15240543064619;-7.75721812329411;-2.65353298272516;-0.481095221612301;-1.62205493499507;-1.71612621718163;-2.44815948417416;-5.70310041303797;-7.931988744124;-9.12892530113603;-6.45316597757661;-0.440120353873299;-1.0906034621901;-13.283127696104;-7.59250783998738;-1.38019381555139;-3.71960046034041;-3.33963443947155;-4.15823267067555;-4.35083991806963;-6.28668421648329;-2.75630530489017;-3.53530201511117;-6.1210126023463
