Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.7315054470998;-0.96267537861396;-8.26070368031669;-8.43386417073;-7.88312041309326;-5.58665912862954;-8.64586557484597;-1.9741943272453;-3.23145475199725;-3.26010509800924;-36.0436533891172;-5.96055080447553;-4.4515310079884;-10.5224207849704;-3.45157777323927;-2.84901487682913;-3.05915706493775;-2.17898914121315;-12.0500081735898;-4.64641669785218;-6.656182723261;-3.18477052606857;-2.58017901101473;-5.58555827304689;-5.61508105549891;-6.1479109540054;-23.6127812967506;-5.17539473766811;-11.2886203005836;-4.17088978250033;-7.21373923707628;-15.0949957610411;-4.89718022967401;-3.3839635141627;-3.4971654733624;-1.68360384075129;-2.46714496485983;-12.9841501531729;-10.5070190286638;-1.39347751815811;-9.31130675896542;-7.62471063780887;-6.01437871456875;-4.8881999203738;-8.49320756837456;-2.76893226209663;-4.687395378959;-2.17975380491607;-2.71535713199181;-2.90010839169578;-3.18311268127164;-3.26955702922132;-7.06152633943739;-7.18166040162595;-6.21116196849052;-6.29942724463274;-0.512880823864338;-1.64123762041622;-13.941216138093;-8.02027694426542;-1.5579172365783;-4.34795938756861;-3.67182464000357;-4.75626884842455;-4.67408744989223;-6.42665392272856;-3.23289294583777;-3.84041450277228;-6.25281175927815
15.1;-13.7008868389981;-0.901435883904511;-8.23542033302216;-8.4002498497716;-7.85115389970681;-5.54239872648595;-8.58691865214235;-1.88224710515941;-3.12656359734139;-3.20091587622781;-36.0436533891172;-5.94493154079357;-4.43104503508647;-10.4678826681003;-3.22877851994218;-2.75156769714293;-3.01145188713891;-2.11140666290613;-12.0300319491054;-4.62448436888794;-6.62799932654041;-3.1479983385721;-2.55365838093507;-5.58082422514235;-5.58327009638401;-6.11342319175086;-23.5592645748071;-5.135320640031;-11.2697237129812;-4.07439291739445;-7.12090038303224;-14.9129278903973;-4.88645860053884;-3.37337028381222;-3.46931289932057;-1.65824904065862;-2.45572173679626;-12.9368103062958;-10.4619166243273;-1.38380495034843;-9.26633275158063;-7.5763332719596;-6.00601941934469;-4.87057131892896;-8.47138801395341;-2.7580080283154;-4.67430777625396;-2.18578973859961;-2.7196367445598;-2.74551431695002;-3.09549733703328;-3.22677518416551;-7.01500366019049;-7.16578728629703;-6.16706463025193;-6.28131544383589;-0.504374930111663;-1.6113171887757;-13.9217534317399;-8.00798600235649;-1.53718074586981;-4.27599281137659;-3.63467564557585;-4.68792999177717;-4.63717041468169;-6.41110008087847;-3.17803832721353;-3.80550532135821;-6.23816567015107
15.2;-13.6702679602099;-0.843037116475421;-8.21030404155477;-8.36663578291152;-7.81939878198188;-5.4984381011494;-8.52836146282616;-1.79238644641708;-3.02286254783642;-3.14226426206295;-36.0436533891172;-5.92941600958154;-4.41056411627262;-10.4133446358311;-3.00946549558927;-2.65540090796352;-2.96386477652475;-2.0444554650799;-12.0100557270004;-4.60255680407358;-6.59981698195256;-3.11152884268818;-2.52737142242354;-5.57609026203418;-5.55167289348938;-6.07916568489644;-23.5057478528635;-5.0955204712189;-11.2508271299329;-3.97869229223211;-7.02868123546814;-14.7308764144119;-4.87573784561985;-3.36278103460301;-3.44166883619912;-1.63321047791585;-2.44431074277614;-12.8897829412751;-10.4171119854195;-1.37416357180468;-9.22165579388584;-7.52827641911;-5.99766029671363;-4.85294511890887;-8.44956855923817;-2.74709186933214;-4.66122178686197;-2.19183028889281;-2.7239176496068;-2.59355005398162;-3.00881923574951;-3.18407002093768;-6.96878999041231;-7.14991436577392;-6.12326241227287;-6.26320425792286;-0.49597792340792;-1.58161849559689;-13.902290665929;-7.99569511073903;-1.51669707087939;-4.20457348694317;-3.59756434341071;-4.62008516623649;-4.60051025058021;-6.39554663721057;-3.12367503384951;-3.77085399964152;-6.223520000867
15.3;-13.6396485390305;-0.78746571630372;-8.18535261810942;-8.33302197883427;-7.78785229745281;-5.45477360810242;-8.47018892958634;-1.70468555963087;-2.92038367028959;-3.08415060796293;-36.0436533891172;-5.91400285601525;-4.39008835484047;-10.3588066929054;-2.794041911621;-2.56055224192704;-2.91640166712696;-1.97817976341559;-11.9900795073228;-4.58063410795935;-6.57163571952982;-3.0753597725956;-2.50131609516581;-5.57135638412324;-5.52028673804092;-6.04513548621958;-23.45223113092;-5.0559909519673;-11.2319305515257;-3.88379190860259;-6.93707427949353;-14.5488577188616;-4.86501797426726;-3.35219580739617;-3.41423104792666;-1.60848585857595;-2.43291210987231;-12.8430639601628;-10.3726012090067;-1.3645535826509;-9.17727199740642;-7.48053592569333;-5.98930134812072;-4.83532136268083;-8.42774920642778;-2.73618386770803;-4.64813743183074;-2.19787543149211;-2.7281998419995;-2.44441020922643;-2.92309414803115;-3.14144585011482;-6.92288135473803;-7.13404164317096;-6.07975159605396;-6.24509369810992;-0.48768931038816;-1.55214659515402;-13.8828277808689;-7.98340427003479;-1.4964638442262;-4.13369896143626;-3.56049242091736;-4.55273055748571;-4.56410398374956;-6.37999359795594;-3.06980257581573;-3.73645790864031;-6.20887475760777
15.4;-13.6090283037554;-0.734696715764616;-8.16056391767691;-8.29940844652073;-7.75651173782863;-5.41140168275496;-8.41239607590482;-1.61921711048128;-2.81916197458406;-3.02657553152829;-36.0436533891172;-5.89869075176139;-4.36961785614043;-10.3042688443302;-2.58298447150981;-2.4670619387278;-2.86906870487015;-1.91262466378594;-11.9701032901216;-4.55871638734144;-6.54345557015935;-3.0394889359228;-2.47549040267543;-5.56662259181224;-5.48910897590308;-6.01132970760747;-23.3987144089768;-5.01672887519571;-11.2130339778479;-3.7896968278094;-6.84607219677507;-14.366888189956;-4.85429899592975;-3.34161464343944;-3.38699734759704;-1.5840728991943;-2.42152596616868;-12.7966493451096;-10.3283804685061;-1.35497518231204;-9.13317754989612;-7.43310772107028;-5.98094257502318;-4.81770009334746;-8.40592995776971;-2.72528410671399;-4.63505473247717;-2.20392514217993;-2.73248331662168;-2.29830878674042;-2.83833920868653;-3.09890709129954;-6.8772738580544;-7.11816912165226;-6.03652854039642;-6.22698377581712;-0.479508576534626;-1.52290654488193;-13.8633647167681;-7.97111348087318;-1.47647871929015;-4.06336709277724;-3.52346161139089;-4.48586256777719;-4.52794870723716;-6.36444096944284;-3.01642066800675;-3.70231448470354;-6.19422994664584
15.5;-13.5784069826822;-0.684693764404056;-8.13593583693614;-8.26579519525898;-7.72537444759261;-5.36831883856903;-8.35497802350758;-1.5360522843286;-2.71923544283447;-2.96953991120177;-36.0436533891172;-5.88347839429157;-4.34915272761838;-10.249731095394;-2.37684824946599;-2.37497265189182;-2.82187225253264;-1.8478360276939;-11.9501270754467;-4.53680375130802;-6.51527656560741;-3.00391421163497;-2.44989239081049;-5.56188888550582;-5.45813700618175;-5.97774551854705;-23.3451976870339;-4.97773110427916;-11.19413740899;-3.69641321210917;-6.75566786409246;-14.1849842144242;-4.8435809201554;-3.33103758437028;-3.35996559615814;-1.5599693249705;-2.41015244076118;-12.7505351562915;-10.2844460117109;-1.34542856947175;-9.08936871336924;-7.38598781543089;-5.97258397889034;-4.80008135475901;-8.38411081556095;-2.71439267033374;-4.6219737103906;-2.20997939682487;-2.73676806837418;-2.15547842582418;-2.75457291394813;-3.05645827547071;-6.83196368348836;-7.10229680443237;-5.99358967950708;-6.20887450267206;-0.471435186610115;-1.49390339845165;-13.8439014138352;-7.95882274389139;-1.45673936917056;-3.99357605261101;-3.48647369527443;-4.41947781631686;-4.49204157935491;-6.34888875809822;-2.96352922598938;-3.66842122788359;-6.1795855743457
15.6;-13.5477843041087;-0.637409575026945;-8.11146631318189;-8.23218223465411;-7.69443782264684;-5.32552166524589;-8.29792998989969;-1.45525977917015;-2.62064503025116;-2.91304488145485;-36.0436533891172;-5.86836450621849;-4.32869307885499;-10.195193451682;-2.17626829730569;-2.28432931607964;-2.77481889447563;-1.78386031498524;-11.9301508633492;-4.51489631128621;-6.48709873854415;-2.96863354795499;-2.424520146331;-5.55715526561046;-5.42736827987189;-5.94438014466364;-23.2916809650913;-4.93899457137571;-11.1752408450438;-3.60394836585879;-6.66585435217775;-14.0031621796165;-4.83286375659275;-3.32046467221872;-3.33313370114009;-1.53617286798589;-2.39879166375839;-12.7047175299026;-10.2407941588782;-1.33591394202978;-9.0458418221961;-7.33917229776508;-5.96422556120379;-4.78246519152587;-8.36229178214908;-2.70350964326694;-4.60889438743624;-2.21603817138195;-2.74105409217485;-2.01616880892612;-2.67181510923159;-3.01410404725237;-6.78694709046164;-7.08642469477717;-5.95093152116594;-6.19076589051347;-0.46346858510542;-1.46514219855174;-13.8244378122792;-7.94653205973448;-1.43724348570321;-3.92432432932758;-3.44953050143497;-4.35357313977356;-4.45637982210927;-6.33333697044922;-2.91112836156104;-3.63477570035511;-6.16494164716507
15.7;-13.5171599963345;-0.592786573168346;-8.08715332328693;-8.19856957463946;-7.66369930900016;-5.28300682697331;-8.24124728598107;-1.37690474753096;-2.52343463246408;-2.85709182742944;-36.0436533891172;-5.85334783465324;-4.30823902160569;-10.140655919092;-1.9819562749356;-2.19517897084884;-2.72791544109566;-1.72074440325053;-11.910174653881;-4.49299418108981;-6.45892212256915;-2.93364496031599;-2.39937179549544;-5.5524217325346;-5.39680029854849;-5.91123086630631;-23.2381642431489;-4.90051627580804;-11.1563442861029;-3.5123107760909;-6.57662492484043;-13.8214384736229;-4.82214751499181;-3.30989594941044;-3.3064996154216;-1.51268126553597;-2.38744376628208;-12.6591926762127;-10.1974213008796;-1.32643149705921;-9.00259328125957;-7.29265733389899;-5.95586732345745;-4.76485164903128;-8.34047285993352;-2.69263511093211;-4.59581678575845;-2.22210144189277;-2.74534138295856;-1.88064408588168;-2.59008696615777;-2.97184916708676;-6.74222041280869;-7.07055279600463;-5.90855064495369;-6.17265795139518;-0.455608196700089;-1.43662796938682;-13.8049738523089;-7.93424142905547;-1.4179887785341;-3.85561073110009;-3.41263390845091;-4.28814559290161;-4.42096071968061;-6.31778561312475;-2.85921837799635;-3.60137552487778;-6.15029817165641
15.8;-13.4865337876601;-0.550757724438841;-8.06299488269697;-8.16495722548741;-7.63315640149773;-5.24077106073062;-8.18492531373986;-1.30104771037801;-2.4276510138189;-2.80168237899424;-36.0436533891172;-5.83842715058305;-4.28779066984126;-10.0861185038521;-1.7946902251778;-2.10757053718243;-2.6811689329528;-1.65853538374413;-11.8901984470952;-4.47109747696798;-6.4307467522378;-2.8989465293435;-2.37444550269545;-5.54768828668857;-5.36643061309896;-5.87829501717833;-23.1846475212062;-4.86229328249668;-11.137447732263;-3.42151015196178;-6.48797303838046;-13.6398294854162;-4.81143220520504;-3.29933145876967;-3.28006133603286;-1.48949225855732;-2.37610888046747;-12.613956877686;-10.1543238974086;-1.3169814307632;-8.95961956417018;-7.24643916459468;-5.94750926715768;-4.74724077344429;-8.31865405136648;-2.68176915946967;-4.5827409277842;-2.22816918448571;-2.74962993567714;-1.74917918564684;-2.50941094754426;-2.92969851329546;-6.69778005695562;-7.0546811114857;-5.86644370053701;-6.15455069758984;-0.447853426735714;-1.40836570890733;-13.7855094741335;-7.92195085251546;-1.39897297424815;-3.78743438890103;-3.37578584590964;-4.22319244926342;-4.38578161694971;-6.30223469285707;-2.80779976496058;-3.56821838330137;-6.13565515446816
15.9;-13.4559054063873;-0.511247508346744;-8.03898904445745;-8.13134519782149;-7.60280664259071;-5.19881117464923;-8.12895956402069;-1.2277434701376;-2.3333436910524;-2.74681840417536;-36.0436533891172;-5.82360124826866;-4.2673481397891;-10.03158121254;-1.61529572942061;-2.02155454367713;-2.63458664452311;-1.5972803341265;-11.8702222430458;-4.44920631765478;-6.40257266308818;-2.86453639886518;-2.34973946912725;-5.54295492848462;-5.33625682249549;-5.84556998301081;-23.1311307992642;-4.82432272044311;-11.1185511836212;-3.33155746243475;-6.39989234129254;-13.4583516050235;-4.80071783718849;-3.28877124352221;-3.25381690299344;-1.46660359014797;-2.3647871394633;-12.5690064871592;-10.1114984752466;-1.30756393843165;-8.9169172115376;-7.20051410371086;-5.93915139382339;-4.72963261173282;-8.29683535895431;-2.67091187574477;-4.56966683622652;-2.23424137537613;-2.75391974529939;-1.62205493500055;-2.42981075907192;-2.88765708401166;-6.65362250015777;-7.03880964464513;-5.8246074060095;-6.13644414159296;-0.440203661700948;-1.38036038078657;-13.7660446179623;-7.90966033078371;-1.38019381555141;-3.71979475945566;-3.33898829571318;-4.15871120203882;-4.35083991806959;-6.28668421648335;-2.75687319306885;-3.53530201511106;-6.12101260234626
