Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-7.19259933589024;-0.962631876037819;-9.72641011622927;-7.04552532722826;-36.0436533891172;-3.03835204169352;-4.23863354187232;-1.97419421205257;-4.52950464364058;-2.63527223768866;-2.60387221430882;-11.078952850527;-2.74076181381151;-7.25188724871412;-3.45157775236856;-2.94353959209149;-3.13551220794724;-1.36799163090037;-7.37523456922133;-2.49610670373455;-6.08670914795572;-2.68591233600266;-2.98083422157472;-7.24237644136296;-6.13166164779229;-5.04413079814173;-7.19574365668202;-4.7018515647292;-8.88426655130921;-3.74570987640934;-6.26439721973788;-13.0189320991663;-3.15965629727259;-3.66779081858836;-4.95856384769716;-1.84509499190921;-3.04539969663105;-10.2460849826934;-10.0303302209298;-1.7301958955187;-8.019277524727;-6.79617476375465;-6.47145755849442;-2.95606960766695;-8.26651517281522;-2.37711279038061;-5.8052706048623;-9.26396944123212;-7.35659441791742;-2.87630346645125;-4.90929136346432;-3.24006131348893;-3.40406642574872;-7.36713937529756;-5.87479389353278;-5.27856290099447;-0.699808842343151;-1.65525387646297;-22.0014604289644;-9.32700442020261;-4.58509365352478;-4.41787983088501;-4.14595363609497;-5.15471899697543;-14.494979303764;-36.0436533891172;-3.63596835977113;-5.01328872838493;-4.58561198412428
15.1;-7.17310760646561;-0.901397417347205;-9.69984587194363;-7.02739088829561;-36.0436533891172;-3.01310239551158;-4.21914372518495;-1.8822469971243;-4.40312871354265;-2.6062528932327;-2.5434332535573;-11.0406882501487;-2.72531597979632;-7.21459824888114;-3.22877850079628;-2.85226623177261;-3.07819510825358;-1.3391234601774;-7.36286946060388;-2.48317209253594;-6.04977565792116;-2.65378851546637;-2.95335147809591;-7.22029147863919;-6.103607776009;-5.03467705210198;-7.18703252127792;-4.670800423526;-8.85146780446723;-3.66461303025548;-6.17455975393959;-12.854588048408;-3.15318590885944;-3.66147408722256;-4.93244590062335;-1.81771548404091;-3.0246535617477;-10.2049312669919;-9.9854439893612;-1.7117679278493;-7.98394507630082;-6.75613619656177;-6.46330595975159;-2.94726157841851;-8.22968881521018;-2.36926129792385;-5.78935477517559;-9.2281371276134;-7.34421983399895;-2.73806823881569;-4.81206863500651;-3.20169938690863;-3.39216598617404;-7.34016947232589;-5.83913413059899;-5.26720023702173;-0.688926833166104;-1.6275311998121;-21.9666430138582;-9.3034049444872;-4.54156016667712;-4.35393674331451;-4.10700934441673;-5.08894320336968;-14.3595106429799;-36.0436533891172;-3.58292280640148;-4.97861553524063;-4.56829892014013
15.2;-7.15374482497353;-0.843003411361814;-9.67345701330909;-7.00925676434745;-36.0436533891172;-2.98805199416877;-4.19965985909835;-1.7923863454492;-4.27778278636447;-2.5773005096753;-2.48330437905435;-11.0026762464787;-2.70988685684426;-7.1773103808919;-3.00946547816542;-2.76150063160964;-3.02141292697844;-1.310735923066;-7.35050445052595;-2.47025270189721;-6.01308914768662;-2.62195390816582;-2.9260912359508;-7.19835264586321;-6.07574082489136;-5.02522391319948;-7.1783214433105;-4.63996326387797;-8.81888570510094;-3.58368879485661;-6.08533195357728;-12.6902608864251;-3.14671738804999;-3.65515840796597;-4.90650525383214;-1.79065984772581;-3.00406609978158;-10.1640492569868;-9.9408541306126;-1.69353537906557;-7.94884626856361;-6.7163637615234;-6.45515446480514;-2.93845784435755;-8.19310589575902;-2.3614161624909;-5.77343975498356;-9.19254145753928;-7.33184534311155;-2.6020434309346;-4.71492339232164;-3.16340087208829;-3.38027048513755;-7.31337805746876;-5.80371342334115;-5.25583824741396;-0.678162952765573;-1.59999564246808;-21.9318254242331;-9.27996129227078;-4.49833423564961;-4.29046841552422;-4.0680907432884;-5.02362814231005;-14.2240524552842;-36.0436533891172;-3.5303069298563;-4.94395083066971;-4.55110324559694
15.3;-7.13450930395484;-0.787436489677531;-9.64724124101128;-6.9911229836666;-36.0436533891172;-2.96319878404262;-4.18018233366689;-1.7046854656258;-4.1534775150049;-2.54841689260777;-2.42350306422277;-10.9649135274745;-2.69447468628662;-7.14002379154378;-2.79404189591392;-2.67128778705694;-2.96516619199395;-1.28282605140517;-7.33813954167831;-2.45734871147218;-5.97664647471945;-2.59040648769944;-2.89905136587787;-7.17655803197897;-6.04805838014816;-5.01577140864296;-7.16961042328192;-4.60933749659961;-8.78651741588872;-3.50295130334026;-5.9967072461966;-12.5259674438306;-3.14025074641969;-3.64884378730748;-4.88073967622566;-1.76392600237608;-2.98363551061347;-10.123435391435;-9.89655676132017;-1.67549624321411;-7.91397804944165;-6.67685403021569;-6.44700307450328;-2.92965844134225;-8.15676323262;-2.35357742894154;-5.7575255887222;-9.15717933110413;-7.31947094048352;-2.46836329643586;-4.61786346879181;-3.12516916779314;-3.36837999071692;-7.2867627993404;-5.76852874294987;-5.24447694476892;-0.667517176331477;-1.57265161238716;-21.8970074855694;-9.25667142079213;-4.45541256569884;-4.22747163656658;-4.02919914760786;-4.95876935547551;-14.0886152046402;-36.0436533891172;-3.47811868786295;-4.90929506301414;-4.53402345329499
15.4;-7.11539938895277;-0.734671678822822;-9.62119630068541;-6.97298957463178;-36.0436533891172;-2.9385407553244;-4.16071154065306;-1.6192170233195;-4.03022603082064;-2.51960388659555;-2.36404754037654;-10.9273968458431;-2.67907971235679;-7.10273862909369;-2.58298445751013;-2.58167601500725;-2.90945567610805;-1.25539078056656;-7.32577473676669;-2.44446030255529;-5.94044456014743;-2.55914428330208;-2.87222978657725;-7.15490576332737;-6.02055807520846;-5.00631956568695;-7.1608994616987;-4.57892058669865;-8.75436015503946;-3.42241577048229;-5.90867929809877;-12.3617245534426;-3.13378599560864;-3.64253023177377;-4.85514698143885;-1.73751188439717;-2.96336003010754;-10.0830861787552;-9.85254807412917;-1.65764854316258;-7.87933742677648;-6.63760364286001;-6.43885178970115;-2.92086340549233;-8.12065770639129;-2.34574514236956;-5.7416123210184;-9.12204770906949;-7.30709662135873;-2.33717400319901;-4.52089747364501;-3.087007742808;-3.35649457157685;-7.26032141224791;-5.73357712213801;-5.23311634176866;-0.656989451172653;-1.54550350957388;-21.862189023348;-9.23353332722293;-4.4127919475208;-4.16494340303555;-3.99033590840843;-4.89436255324038;-13.9532093552308;-36.0436533891172;-3.42635620117971;-4.87464869050752;-4.51705806559446
15.5;-7.09641345765853;-0.684672625142491;-9.59531998175254;-6.95485656571921;-36.0436533891172;-2.91407594078784;-4.14124787354664;-1.53605220387458;-3.90804412922177;-2.49086337544194;-2.30495680104321;-10.8901230173654;-2.66370218220685;-7.06545504331247;-2.37684823715837;-2.4927170693913;-2.85428239154256;-1.22842694678834;-7.3134100385119;-2.43158765808392;-5.90448038714608;-2.52816537771291;-2.84562446330727;-7.13339400267814;-5.99323758999001;-4.9968684116322;-7.15218855907176;-4.54871005199892;-8.72241119485587;-3.34209856233888;-5.82124201577931;-12.1975490506625;-3.12732314732186;-3.63621774792946;-4.82972502668502;-1.71141544486266;-2.94323792914275;-10.042998195225;-9.80882433572872;-1.63999032967338;-7.84492146677756;-6.5986093065775;-6.43070061126084;-2.91207277319029;-8.08478625849854;-2.33791934810269;-5.72569999669281;-9.08714361129461;-7.29472238099671;-2.20863317069548;-4.42403486536571;-3.0489201371415;-3.34461429697382;-7.23405165500905;-5.69885565358125;-5.22175645118049;-0.6465796967666;-1.51855572093392;-21.8273698630494;-9.21054504763386;-4.37046925542346;-4.10288091883648;-3.95150241404157;-4.83040361372333;-13.8178453714886;-36.0436533891172;-3.37501775132407;-4.84001218159567;-4.5002056336492
15.6;-7.0775499190843;-0.637392040918401;-9.56961011629331;-6.93672398550444;-36.0436533891172;-2.88980241459497;-4.12179172758365;-1.45525970527168;-3.78695046325122;-2.46219728241536;-2.24625060222448;-10.8530889192736;-2.64834234592365;-7.02817318554131;-2.17626828666648;-2.40446623388855;-2.79964758388823;-1.20193128495362;-7.3010454496501;-2.41873096264037;-5.86875099937807;-2.49746790508169;-2.81923340652059;-7.11202094829278;-5.96609464970711;-4.9874179738259;-7.14347771591653;-4.51870346180707;-8.69066786034391;-3.26201726803836;-5.73438954777034;-12.0334577739249;-3.12086221332952;-3.62990634237732;-4.80447171163855;-1.68563464727612;-2.9232675126751;-10.0031680832374;-9.76538188494989;-1.62251968051373;-7.81072729252489;-6.55986779370017;-6.42254954005145;-2.9032865810826;-8.04914588963439;-2.33010009170244;-5.7097886607627;-9.05246411521752;-7.28234821467289;-2.08290900401545;-4.32728603131649;-3.01090996317459;-3.33273923676074;-7.20795132980812;-5.66436148840895;-5.21039728585785;-0.636287804835451;-1.49181261494429;-21.7925498301542;-9.18770465599403;-4.32844144555738;-4.04128159501607;-3.91270009138714;-4.76688858196093;-13.6825337181304;-36.0436533891172;-3.32410177825072;-4.80538601526808;-4.48346473666514
15.7;-7.05880721276265;-0.592772353795255;-9.54406457795768;-6.91859186266402;-36.0436533891172;-2.86571829113754;-4.10234349976523;-1.37690468001874;-3.6669667435457;-2.43360757043738;-2.18794945807432;-10.8162914886811;-2.63300045654433;-6.99089320875004;-1.98195626593033;-2.31698238542593;-2.74555272550198;-1.17590042681397;-7.2886809729329;-2.40589040245348;-5.8332534994827;-2.46705004891171;-2.79305467053811;-7.09078483301752;-5.93912702371663;-4.97796827966214;-7.13476693275289;-4.48889843562141;-8.65912752786675;-3.18219077334571;-5.64811628689048;-11.8694675652133;-3.11440320546725;-3.62359602175846;-4.77938497735315;-1.66016746542045;-2.90344711882942;-9.96359254961115;-9.72221713092467;-1.60523469960092;-7.77675208251942;-6.5213759401362;-6.41439857694917;-2.89450486608096;-8.01373365824784;-2.32228741896397;-5.69387835844489;-9.01800635438464;-7.26997411767885;-1.96017895886009;-4.23066237393613;-2.97298090674715;-3.32086946139167;-7.18201828108841;-5.63009183474338;-5.19903885874128;-0.626113639447989;-1.46527853614889;-21.757728750143;-9.16501026320235;-4.28670555420125;-3.98014304963863;-3.87393040709083;-4.70381366919969;-13.5472848601973;-36.0436533891172;-3.27360687796768;-4.77077068139756;-4.46683398118247
15.8;-7.04018380797144;-0.550746534007403;-9.51868128090923;-6.90046022597734;-36.0436533891172;-2.8418217239128;-4.08290358887648;-1.30104764906546;-3.5481179425287;-2.40509624222883;-2.13007463145561;-10.7797277210622;-2.61767677007124;-6.95361526759792;-1.79469021775842;-2.23032802145641;-2.6919995083127;-1.15033089965684;-7.27631661112762;-2.39306616539979;-5.79798504761359;-2.43691004003864;-2.76708635225961;-7.06968392340506;-5.91233252440067;-4.96851935658215;-7.12605621010528;-4.45929264188127;-8.62778762384132;-3.10263933550721;-5.56241687290661;-11.7055952706691;-3.10794613563638;-3.61728679275253;-4.75446280521434;-1.63501188129483;-2.88377511801972;-9.92426836395667;-9.67932655130332;-1.58813351618145;-7.74299306927949;-6.48313064378768;-6.40624772283734;-2.88572766536348;-7.9785466790817;-2.31448137591594;-5.67796913515866;-8.98376751702704;-7.25760008532244;-1.84062788072499;-4.13417640386329;-2.93513672817351;-3.30900504192654;-7.1562503944797;-5.59604395628545;-5.18768118285932;-0.61605703714754;-1.43895779949002;-21.7229064484964;-9.14246001614961;-4.24525869610026;-3.91946310769389;-3.83519486882835;-4.64117525230071;-13.4121092631004;-36.0436533891172;-3.22353180007944;-4.73616668109054;-4.45031200038051
15.9;-7.02167820298305;-0.511239068017839;-9.49345817880279;-6.88232910432846;-36.0436533891172;-2.81811090443222;-4.06347239550509;-1.22774341482103;-3.43043250004604;-2.37666534041134;-2.07264811882404;-10.743394668779;-2.60237154548635;-6.91633951849626;-1.61529572352295;-2.14456924339893;-2.63898983600359;-1.12521912541388;-7.26395236701747;-2.38025844100439;-5.76294286002267;-2.40704615464385;-2.7413265899094;-7.04871651886399;-5.88570900608439;-4.95907123207472;-7.11734554850272;-4.42988379675532;-8.59664562347617;-3.02338465876196;-5.47728619561123;-11.5418577412981;-3.10149101580424;-3.6109786620779;-4.72970321592486;-1.61016588313968;-2.864249912097;-9.88519235709224;-9.63670669052807;-1.57121428404286;-7.70944753798162;-6.44512886301845;-6.39809697860647;-2.87695501637593;-7.94358212175606;-2.30668200882027;-5.66206103652881;-8.94974484468173;-7.24522611292809;-1.72444557805792;-4.03784184030727;-2.89738126317994;-3.29714605003587;-7.13064559575973;-5.56221517094518;-5.17632427132945;-0.606117807105447;-1.41285468448676;-21.6880827506951;-9.12005209681023;-4.2040980628544;-3.85923980102131;-3.79649502659612;-4.57896987325062;-13.2770173926704;-36.0436533891172;-3.17387544524551;-4.70157452704708;-4.43389745340456
