Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.025193548318;-0.962631876038122;-8.5606960484086;-7.36408820148976;-6.58264540294874;-2.67281610931593;-4.7999234370761;-1.97419421205244;-2.72321895934145;-3.23914676272226;-4.10771823456693;-9.43159924796888;-4.80846740258321;-6.80597989366045;-3.4515777523662;-2.66383779910398;-3.66039141704138;-2.32991258020432;-7.04898011017715;-3.0576473268994;-5.21452356236206;-3.67065764928108;-3.60557425889773;-6.31358853605087;-5.93394507189981;-6.16332565906421;-15.9020713684955;-5.28759181828918;-11.5121915601097;-4.34894282852333;-10.2235795629155;-6.96400098204958;-5.2664669921711;-4.27806149057473;-4.17923811598527;-1.56135094712296;-3.37213755437616;-6.48552504449129;-8.15469723583764;-1.25098220086029;-8.48608264328533;-7.82311401454448;-9.17319932612091;-5.40826989747622;-8.02483736917959;-2.8545844917356;-5.58026446748709;-6.79959909994942;-6.78937459878321;-3.23721511735034;-2.33131447418185;-2.78383153636876;-5.36008014678159;-6.60007420555041;-2.67520565310766;-4.05923952084216;-0.346526538041783;-1.22575805622627;-13.6435204521287;-6.57595298426842;-4.3725700005683;-4.48585836520752;-3.44121444978236;-3.46091373894661;-4.55198616006709;-7.06318098872746;-2.99222345434943;-4.99565152728371;-5.95686252519411
15.1;-12.997293060255;-0.901397417347496;-8.53535303278902;-7.32977138490293;-6.57388247506635;-2.65767944678481;-4.76886831300405;-1.88224699712417;-2.62088292075171;-3.16866221892992;-3.97860754922735;-9.40121689673551;-4.77564120422091;-6.7592628191729;-3.22877850079396;-2.57574134521232;-3.60196367396237;-2.24447105345018;-7.02463372970687;-3.04322283778782;-5.19730145237301;-3.62961030165132;-3.57410581277116;-6.2979777554515;-5.91915537417039;-6.14583086659436;-15.877111804554;-5.2477380977561;-11.4763218763076;-4.25608616925701;-10.1023202297473;-6.89154826581802;-5.23864434468077;-4.25784810679359;-4.15250626762414;-1.53766441396025;-3.35010749163469;-6.48191600889948;-8.12182766239272;-1.23954347965811;-8.46372359158608;-7.80099858731505;-9.14311205689576;-5.38751330431158;-7.99093792347558;-2.84445134187422;-5.56493107915381;-6.79343319296824;-6.78230557483235;-3.04478466329403;-2.25839702308589;-2.74610304452031;-5.32608473823579;-6.5862580808858;-2.67573209937227;-4.05377237722718;-0.340659038856091;-1.21038626973041;-13.6024239967329;-6.55272790253503;-4.33255189115628;-4.40217113076819;-3.40407989996911;-3.41920929091211;-4.5138787711318;-7.03555758513449;-2.93461844517069;-4.94996882529772;-5.93693218266598
15.2;-12.9693923528145;-0.843003411362094;-8.51017742393878;-7.29568184868844;-6.56511965455866;-2.64256009862188;-4.73802634911034;-1.79238634544907;-2.52002982545891;-3.09885828872222;-3.84984291004565;-9.37103516605768;-4.74282455890632;-6.71285662028415;-3.00946547816317;-2.48885503794162;-3.54363163520196;-2.15989710383298;-7.00044857519247;-3.02880875883889;-5.18008080729683;-3.58887930556859;-3.54287334173197;-6.28247046183525;-5.90436626694775;-6.12833670957452;-15.8521520077875;-5.20815575342763;-11.4406889710346;-4.16396510670197;-9.98186189131055;-6.81957907772011;-5.21100943538233;-4.23777395151566;-4.12596216724165;-1.51428529044869;-3.32809487811015;-6.47830697705319;-8.08917536920176;-1.22815794163682;-8.44136467309351;-7.77888331016308;-9.11322348082766;-5.36675894014346;-7.95726262342382;-2.8343245251507;-5.54959858003781;-6.78726732865768;-6.77523660759571;-2.85544434798132;-2.1865703196321;-2.70847256325616;-5.29231931451462;-6.57244227911259;-2.67625818697784;-4.04830585427065;-0.334875154410617;-1.19511007400082;-13.5615988091149;-6.52965688555481;-4.29255566737611;-4.31912224078724;-3.36699315942538;-3.37756363609335;-4.4760388389779;-7.00811718101098;-2.87757753696757;-4.90430191900811;-5.9171344355376
15.3;-12.9414912049045;-0.787436489677798;-8.48516702866156;-7.26181663325282;-6.55635694236935;-2.627458366216;-4.70739494685013;-1.70468546562567;-2.42071213538436;-3.02973927943244;-3.72149519251977;-9.34105142660769;-4.71001815995797;-6.66675732099829;-2.79404189591171;-2.40321013719724;-3.48540099895285;-2.07626645144623;-6.97642254137092;-3.01440523351422;-5.16286147096192;-3.54846202544606;-3.51187442478222;-6.26706530192132;-5.8895777600809;-6.11084317791161;-15.8271917452936;-5.16884150133826;-11.4052897393515;-4.07258068906168;-9.86219411418382;-6.74808743082163;-5.18355988783803;-4.21783727530969;-4.09960357372635;-1.49121109608943;-3.30609991043317;-6.4746979328001;-8.05673751498628;-1.21682605387149;-8.41900591789549;-7.7567681373583;-9.08353099432027;-5.34600709589254;-7.9238085398778;-2.82420409770632;-5.53426696939902;-6.78110150728135;-6.76816769747516;-2.66949312319669;-2.11585523705174;-2.67094418724964;-5.25878101138215;-6.55862686314989;-2.67678353670109;-4.04284004753522;-0.329174167822381;-1.17992634473252;-13.5210413316975;-6.5067379253428;-4.25258276605303;-4.23671000728279;-3.32995640603939;-3.33597918637734;-4.43846335085157;-6.98085739024251;-2.82110214733501;-4.85865240712705;-5.89746755851745
15.4;-12.9135893954346;-0.734671678823078;-8.46031969665311;-7.22817283728628;-6.54759433945042;-2.61237455346569;-4.67697156174324;-1.61921702331937;-2.32298550592125;-2.96131002422768;-3.59364026372326;-9.31126310047642;-4.67722271003193;-6.62096102638754;-2.58298445750797;-2.31883951985707;-3.42727776530128;-1.99365748730097;-6.95255356422482;-3.00001240702667;-5.14564328775872;-3.50835591282211;-3.48110669807622;-6.25176094888625;-5.87478986354805;-6.09335026171884;-15.8022307841704;-5.12979212877759;-11.3701211370119;-3.98193475957197;-9.74330667687561;-6.6770674763465;-5.1562933732422;-4.19803636336747;-4.07342829234867;-1.46843935839206;-3.28412279330185;-6.47108885998848;-8.0245113141602;-1.20554827794631;-8.39664735613317;-7.7346530232724;-9.05403204469994;-5.32525806323014;-7.89057280115361;-2.81409011618818;-5.51893624671347;-6.77493572910449;-6.76109884487542;-2.48727366250348;-2.04627315984117;-2.63352210609882;-5.22546702361641;-6.54481189596277;-2.67730776925991;-4.03737505256168;-0.323555354729868;-1.16483205629239;-13.4807480764359;-6.48396905328033;-4.21263465604623;-4.15493322815994;-3.2929718728908;-3.29445844479254;-4.40114936434513;-6.95377587354572;-2.76519395089722;-4.81302191846016;-5.8779298601203
15.5;-12.885686703316;-0.684672625142734;-8.43563331939094;-7.19474761625985;-6.53883184676217;-2.59730896678225;-4.64675370199934;-1.53605220387446;-2.22690858284714;-2.89357587740273;-3.46635945039863;-9.28166765984239;-4.64443892138842;-6.57546392058084;-2.37684823715628;-2.23577756008183;-3.36926824989222;-1.91215100981595;-6.92883961991494;-2.98563042635505;-5.12842610265125;-3.46855850436477;-3.45056785342442;-6.23655610167895;-5.86000258745849;-6.0758579513195;-15.7772688915157;-5.09100449256863;-11.3351801788901;-3.8920299850376;-9.62518956517445;-6.60651350120215;-5.12920760919484;-4.17836953460469;-4.04743417356077;-1.44596761143528;-3.26216373963145;-6.46747974246727;-7.9924940353899;-1.19432506978437;-8.37428901800222;-7.71253792238138;-9.02472412889768;-5.30451213459023;-7.85755259154515;-2.80398263775187;-5.50360641167655;-6.76876999439398;-6.75403005020406;-2.30917353606693;-1.97784586571531;-2.59621060507135;-5.19237460351773;-6.53099744056281;-2.67783050531401;-4.03191096486861;-0.318017983715459;-1.14982428350762;-13.4407156230171;-6.46134833909614;-4.17271283932906;-4.07379119902946;-3.25604184957151;-3.25300400827864;-4.36409400572627;-6.92687033725716;-2.7098548714945;-4.76741211313588;-5.85851968179185
15.6;-12.8577829074611;-0.637392040918632;-8.41110582905964;-7.16153818097089;-6.53006946527335;-2.58226191509226;-4.61673892718698;-1.45525970527156;-2.13254272951164;-2.82654270778188;-3.33974001751012;-9.25226262568362;-4.61166751616402;-6.53026226481878;-2.17626828666448;-2.15405998170443;-3.31137909787664;-1.83182988704905;-6.90527872374706;-2.97125944025881;-5.11120976118857;-3.4290674199155;-3.42025563684039;-6.2214494843576;-5.84521594205452;-6.05836623725061;-15.7523058344272;-5.05247551740208;-11.3004639374611;-3.80286988475853;-9.50783296772946;-6.53641992563291;-5.10230035851461;-4.15883514079072;-4.02161911183445;-1.4237933945229;-3.24022297070626;-6.46387056408596;-7.96068300020076;-1.18315687947808;-8.35193093375406;-7.6904227892679;-8.99560479217354;-5.28376960318148;-7.82474514988709;-2.793881720064;-5.48827746420644;-6.76260430341835;-6.74696131387152;-2.13562450125775;-1.91059539538171;-2.55901406569419;-5.15950105946498;-6.51718356000858;-2.67835136546524;-4.02644787995182;-0.3125613167256;-1.13490020346089;-13.4009406171178;-6.43887388988026;-4.13281885209621;-3.99328372529774;-3.2191686835031;-3.21161857048075;-4.32729446831949;-6.90013853216126;-2.65508707362895;-4.72182468387728;-5.83923539706152
15.7;-12.8298777867843;-0.592772353795474;-8.38673519751057;-7.12854179613515;-6.52130719596118;-2.56723370983916;-4.58692484694478;-1.37690468001863;-2.03995167828228;-2.76021689003969;-3.21387564736635;-9.22304556653067;-4.57890922665071;-6.48535239557227;-1.98195626592839;-2.07372368107026;-3.25361729809715;-1.75277863969555;-6.88186892917184;-2.95689959929273;-5.09399410951659;-3.38988036056942;-3.39016784712891;-6.20643984544786;-5.83042993771341;-6.04087511026678;-15.7273413800031;-5.01420219422438;-11.2659695413284;-3.7144588596084;-9.39122727186006;-6.46678130099816;-5.0755694280897;-4.13943156570618;-3.99598104453568;-1.40191425093378;-3.218300716333;-6.46026130869475;-7.9290755816281;-1.17204415112052;-8.32957313369703;-7.66830757862386;-8.96667162688165;-5.26303076299945;-7.79214776816378;-2.78378742130483;-5.47294940444751;-6.75643865644776;-6.73989263629118;-1.96709923446826;-1.84454391045683;-2.52193696617492;-5.12684375451792;-6.50337031740626;-2.67886997025795;-4.02098589328402;-0.307184609488264;-1.12005709728877;-13.3614197687179;-6.41654384912939;-4.09295426589738;-3.91341113444878;-3.18235478124731;-3.17030492456197;-4.29074801093772;-6.87357825235559;-2.60089295313037;-4.67626135731694;-5.82007541072229
15.8;-12.8019711202013;-0.550746534007614;-8.3625194352546;-7.0957557790235;-6.51254503981143;-2.55222466498391;-4.55730911973313;-1.30104764906535;-1.9492011014273;-2.69460529375002;-3.08886690630644;-9.19401409725922;-4.54616479558047;-6.44073072272251;-1.79469021775657;-1.99480651911084;-3.19599019746575;-1.67508294145883;-6.85860832681642;-2.94255105582135;-5.07677899439027;-3.35099510678918;-3.36030233451369;-6.19152595732145;-5.81564458494931;-6.02338456134406;-15.7023752953412;-4.97618157867741;-11.2316941737984;-3.62680222098844;-9.27536305959349;-6.39759230767215;-5.04901266776507;-4.12015722432714;-3.97051795083428;-1.38032772676413;-3.19639721499559;-6.45665196014444;-7.89766920291106;-1.16098732263763;-8.30721564819767;-7.64619224525272;-8.93792227127457;-5.242295908839;-7.75975779016228;-2.77369980017077;-5.45762223277377;-6.75027305375406;-6.7328240178793;-1.80410481971789;-1.77971354009628;-2.48498388163981;-5.09440010506388;-6.48955777591014;-2.67938594017987;-4.01552510031439;-0.301887111927328;-1.10529235198288;-13.3221498504672;-6.39435639582259;-4.05312068879726;-3.834174288428;-3.14560260980616;-3.12906596602805;-4.25445195636197;-6.84718733415229;-2.54727512700607;-4.63072389535588;-5.80103815803664
15.9;-12.7740626866299;-0.511239068018038;-8.33845659048657;-7.0631774981418;-6.50378299781855;-2.53723509700493;-4.52788945162493;-1.22774341482092;-1.86035809828214;-2.62971526997393;-2.96482168231825;-9.16516587792077;-4.51343497641684;-6.39639372780002;-1.61529572352121;-1.91734708195704;-3.13850551547369;-1.59882903544942;-6.83549504354662;-2.92821396403341;-5.05956426318585;-3.31240951654987;-3.33065699930294;-6.17670661559424;-5.80085989441529;-6.00589458168389;-15.6774073475398;-4.93841078958785;-11.1976350715;-3.53990621933818;-9.16023110393028;-6.32884775306247;-5.02262796926469;-4.10101056203514;-3.94522785064746;-1.35903136986048;-3.17451271401236;-6.4530425022865;-7.86646133622756;-1.14998682562156;-8.28485850768207;-7.6240767440722;-8.90935440834533;-5.22156533630658;-7.72757261016802;-2.76361891587693;-5.44229594979247;-6.74410749561076;-6.72575545905511;-1.6471724036615;-1.71612621718189;-2.4481594841743;-5.06216757950703;-6.47574599872318;-2.67989889566254;-4.01006559646807;-0.296668068573449;-1.09060346219016;-13.2831276961039;-6.37230974352613;-4.01331976656165;-3.75557459602553;-3.10891469790772;-3.0879046955565;-4.218403689867;-6.82096365501402;-2.49423642244165;-4.58521409656675;-5.78212210396748
