Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.7315054471011;-0.962675378613968;-8.56991953619332;-7.03137093339088;-7.01930466681403;-3.53254521051092;-4.53761882417477;-1.97419432724436;-3.23145475199642;-3.2601050980091;-2.51646697575401;-10.3168208458273;-3.05509915491098;-6.24711494886924;-3.4515777732349;-2.84901487682883;-3.05915706493774;-2.42827468056396;-7.60314584221454;-2.81752477317873;-6.76459602448472;-3.18477052606865;-3.30635258445911;-6.93982443260029;-5.85588689954148;-5.55807854802022;-12.2683404483617;-4.47200770121296;-10.0718674330974;-4.17088978249999;-7.21373923707633;-15.0949957610497;-3.15644481899318;-4.60867257980072;-4.18771405213558;-1.68360384075143;-2.06380749585566;-10.7973412734399;-8.94987968929816;-1.4688649806395;-8.38765024402193;-6.64169475505371;-6.29218826932815;-4.27941024659608;-8.34359385145842;-2.53967394152112;-5.72798885997166;-9.69931017446411;-9.84918749595348;-2.90010839169976;-3.18311268127141;-3.26955702922121;-5.41167951500945;-5.98771043977231;-3.30407558840687;-4.74170427972123;-0.512880823864332;-1.64123762041617;-13.9412161380924;-6.14759782460947;-9.19194656602644;-4.34795938756867;-3.67182464000364;-4.75626884842419;-4.65548540469607;-36.0436533891172;-3.23289294583774;-5.08049971484077;-5.40241982239891
15.1;-13.7008868389994;-0.901435883904528;-8.54597476129639;-6.9985543129322;-7.00999594240266;-3.50370841971464;-4.50781126363909;-1.88224710515851;-3.12656359734057;-3.20091587622767;-2.44741305868143;-10.2822362202914;-3.03879888201224;-6.20388921169845;-3.22877851993849;-2.75156769714262;-3.0114518871389;-2.35408213910017;-7.57630352953184;-2.80375817458519;-6.72468975842413;-3.14799833857217;-3.27674384421357;-6.92020972927871;-5.84105747308482;-5.54478642914783;-12.2274437492706;-4.45071778788396;-10.0371581796751;-4.07439291739411;-7.12090038303228;-14.9129278904052;-3.14915215563297;-4.58784994395387;-4.16301873895524;-1.65824904065876;-2.05651754262721;-10.7578225685829;-8.91188764124986;-1.45312466296583;-8.36624574563663;-6.62124249296561;-6.28473715010766;-4.26519983328768;-8.32370593720973;-2.53099453926609;-5.71197706552462;-9.66530442259348;-9.81453736290865;-2.7455143169539;-3.09549733703305;-3.22677518416539;-5.37702324394894;-5.97688845110089;-3.29749833408717;-4.7326794777832;-0.504374930111657;-1.61131718877564;-13.9217534317392;-6.13807771157566;-9.08587966318622;-4.27599281137666;-3.63467564557591;-4.68792999177681;-4.61987716535201;-36.0436533891172;-3.1780383272135;-5.03730268658467;-5.38326438988787
15.2;-13.6702679602112;-0.843037116475445;-8.52218814920714;-6.96595528002371;-7.0006872962927;-3.47508748872591;-4.4782102557027;-1.79238644641621;-3.0228625478356;-3.14226426206282;-2.37925931700212;-10.2478799183224;-3.02251196349503;-6.16095254235889;-3.00946549558626;-2.65540090796322;-2.96386477652472;-2.28047249607897;-7.54963876088298;-2.79000378721438;-6.68504879778965;-3.11152884268826;-3.2473645574967;-6.90072487347046;-5.8262286987598;-5.53149498967407;-12.1868170054603;-4.4294332499234;-10.0026780840874;-3.97869229223178;-7.02868123546819;-14.7308764144201;-3.14186187718382;-4.5671691641532;-4.1384959730542;-1.63321047791599;-2.04923537489207;-10.718564748068;-8.87414656026979;-1.43756275481601;-8.34484132136699;-6.60079079698041;-6.27728613459771;-4.25099233247273;-8.3038180581615;-2.52232164480857;-5.69596611062192;-9.63152320541734;-9.78011601025242;-2.5935500539854;-3.00881923574928;-3.18407002093757;-5.3426012494972;-5.96606679302483;-3.29092261072457;-4.72365541855973;-0.495977923407914;-1.58161849559683;-13.9022906659283;-6.12855780398258;-8.97982161356403;-4.20457348694325;-3.59756434341075;-4.62008516623613;-4.58451645555567;-36.0436533891172;-3.12367503384948;-4.99411866790444;-5.36423707291938
15.3;-13.6396485390317;-0.787465716303755;-8.49855762753637;-6.93357100649916;-6.99137872921575;-3.44668012760576;-4.44881331466713;-1.70468555963002;-2.92038367028878;-3.0841506079628;-2.31201882928918;-10.2137489466142;-3.00623860742919;-6.11830128716776;-2.79404191161866;-2.56055224192675;-2.91640166712695;-2.20749368743051;-7.52314921515541;-2.77626176912631;-6.64566972629887;-3.07535977259568;-3.21821245316045;-6.88136816708283;-5.81140059738244;-5.51820422512704;-12.1464566767739;-4.40815422544829;-9.96842414241875;-3.88379190860225;-6.93707427949358;-14.5488577188696;-3.13457400282166;-4.5466284411657;-4.11414365910466;-1.6084858585761;-2.04196104114622;-10.6795643915093;-8.83665316100333;-1.42217722517785;-8.32343694104612;-6.58033968688814;-6.26983522357246;-4.23678782028581;-8.28393015542473;-2.51365530930672;-5.67995599808716;-9.59796358017499;-9.74592043937455;-2.44441020923008;-2.92309414803093;-3.1414458501147;-5.30841061294879;-5.95524550153031;-3.28434829936498;-4.71463212797612;-0.487689310388154;-1.55214659515397;-13.8828277808682;-6.11903811303905;-8.87378013719425;-4.13369896143635;-3.56049242091741;-4.55273055748535;-4.54940038643754;-36.0436533891172;-3.0698025758157;-4.95094901155004;-5.34533621194308
15.4;-13.6090283037567;-0.73469671576466;-8.47508116441811;-6.90139871995793;-6.98207024191026;-3.41848409764496;-4.41961800679279;-1.61921711048047;-2.81916197458326;-3.02657553152816;-2.24570517991678;-10.1798403703866;-2.98997902475279;-6.07593186791404;-2.5829844715081;-2.46706193872751;-2.86906870487014;-2.1351951025449;-7.49683261669937;-2.76253228011694;-6.60654919610299;-3.03948893592287;-3.18928531307528;-6.86213794524093;-5.79657318990803;-5.50491413115994;-12.106359292252;-4.38688085490493;-9.93439340949388;-3.78969682780907;-6.84607219677512;-14.3668881899638;-3.12728855182373;-4.52622601132501;-4.08995974436611;-1.58407289919445;-2.03469459006422;-10.6408181453983;-8.79940422245444;-1.40696607096629;-8.30203257455769;-6.55988918271476;-6.26238441781184;-4.22258637338588;-8.26404217015043;-2.50499558424518;-5.663946730965;-9.56462266166067;-9.71194771030909;-2.29830878674395;-2.83833920868631;-3.09890709129944;-5.27444847581829;-5.94442461263461;-3.27777528124993;-4.70560963200848;-0.47950857653462;-1.52290654488188;-13.8633647167674;-6.10951864997082;-8.76776296953118;-4.06336709277733;-3.52346161139094;-4.48586256777683;-4.51452613305678;-36.0436533891172;-3.01642066800672;-4.9077950922562;-5.32656017995536
15.5;-13.5784069826834;-0.684693764404105;-8.45175676746064;-6.86943570232729;-6.97276183512155;-3.39049721000292;-4.39062194897179;-1.53605228432783;-2.71923544283369;-2.96953991120165;-2.18033240292207;-10.1461513118701;-2.97373342929931;-6.03384077999461;-2.37684824946494;-2.37497265189153;-2.82187225253263;-2.06362748886127;-7.4706867341515;-2.74881548172858;-6.56768392604708;-3.00391421163504;-3.16058097067375;-6.84303257542762;-5.78174649743313;-5.49162470355279;-12.0665214483415;-4.3656132811137;-9.90058299735775;-3.69641321210884;-6.7556678640925;-14.184984214432;-3.12000554356901;-4.50596014560927;-4.06594221757993;-1.55996932497065;-2.02743607049804;-10.6023227213724;-8.76239658632201;-1.39192731627617;-8.28062819183703;-6.53943930472682;-6.25493371810159;-4.20838806896231;-8.24415404353039;-2.49634252143568;-5.64793831252455;-9.53149762073409;-9.67819494021655;-2.15547842582757;-2.75457291394791;-3.05645827547059;-5.24071203832145;-5.93360416238644;-3.27120343781869;-4.69658795668413;-0.471435186610109;-1.4939033984516;-13.8439014138346;-6.09999942602082;-8.66177786307917;-3.99357605261111;-3.48647369527449;-4.4194778163165;-4.47989093283053;-36.0436533891172;-2.96352922598935;-4.86465830759166;-5.30790738165636
15.6;-13.5477843041099;-0.637409575026998;-8.42858248273104;-6.83767928847094;-6.9634535096019;-3.36271732438725;-4.36182280744288;-1.4552597791694;-2.62064503025038;-2.91304488145472;-2.11591491937289;-10.1126789488403;-2.95750203782465;-5.99202459061152;-2.17626829730524;-2.28432931607936;-2.7748188944756;-1.99284282965267;-7.44470937929627;-2.73511153726009;-6.52907069998671;-2.96863354795506;-3.13209730953524;-6.82405045665115;-5.76692054119752;-5.47833593821413;-12.026939807161;-4.34435164931455;-9.86699007380398;-3.60394836585846;-6.6658543521778;-14.0031621796242;-3.1127249975386;-4.48582914874847;-4.04208910789925;-1.53617286798602;-2.02018553147577;-10.5640748945404;-8.72562715538978;-1.37705901166581;-8.25922376287227;-6.5189900734365;-6.24748312523327;-4.19419298474093;-8.22426571679812;-2.4876961730175;-5.63193074626303;-9.4985856828787;-9.64465930191498;-2.0161688089294;-2.67181510923137;-3.01410404725226;-5.20719855790514;-5.92278418686616;-3.264632650711;-4.68756712808188;-0.463468585105413;-1.46514219855169;-13.8244378122786;-6.09048045244924;-8.55583258920053;-3.92432432932769;-3.44953050143502;-4.35357313977321;-4.4454920840129;-36.0436533891172;-2.91112836156101;-4.82154007883624;-5.28937625263417
15.7;-13.5171599963358;-0.592786573168404;-8.40555639377234;-6.80612686484203;-6.95414526611059;-3.33514234777223;-4.33321829654694;-1.37690474753025;-2.52343463246331;-2.85709182742932;-2.05246746817134;-10.0794205131984;-2.94128507003393;-5.95047993702807;-1.98195627493571;-2.19517897084856;-2.72791544109564;-1.92289419299169;-7.41889840596378;-2.72142061177692;-6.49070636515868;-2.93364496031607;-3.1038322620099;-6.80519001863931;-5.75209534258633;-5.46504783118272;-11.9876110948234;-4.3230961072132;-9.83361186095036;-3.51231077609058;-6.57662492484048;-13.8214384736303;-3.10544693331619;-4.46583135836042;-4.01839848385269;-1.51268126553611;-2.01294302220041;-10.5260715018603;-8.68909289196774;-1.36235923347007;-8.23781925770551;-6.49854150960645;-6.24003264000436;-4.18000119899022;-8.20437713122966;-2.47905659145803;-5.61592403590951;-9.46588412680616;-9.61133802245795;-1.88064408588482;-2.59008696615756;-2.97184916708666;-5.17390534782436;-5.91196472218609;-3.25806280176943;-4.67854717233247;-0.455608196700083;-1.43662796938676;-13.8049738523083;-6.08096174053372;-8.44993494010674;-3.8556107311002;-3.41263390845096;-4.28814559290125;-4.41132694422167;-36.0436533891172;-2.85921837799632;-4.77844185188623;-5.27096525857503
15.8;-13.4865337876614;-0.550757724438904;-8.38267662065175;-6.77477586817899;-6.944837105414;-3.30777023315491;-4.30480617752138;-1.30104771037734;-2.42765101381815;-2.80168237899411;-1.99000503030758;-10.0463732895963;-2.9250827486081;-5.90920352488144;-1.79469022517845;-2.10757053718216;-2.68116893295279;-1.85383555019889;-7.39325170896253;-2.70774287212088;-6.45258783060385;-2.89894652934357;-3.07578380788047;-6.7864497210593;-5.73727092313205;-5.45176037862934;-11.9485320998099;-4.30184680502814;-9.8004456338597;-3.42151015196146;-6.4879730383805;-13.6398294854234;-3.09817137058848;-4.44596514411402;-3.99486845234074;-1.48949225855746;-2.00570859204859;-10.4883094405692;-8.65279081638297;-1.34782608314185;-8.216414646434;-6.47809363425501;-6.23258226321823;-4.16581279052739;-8.18448822814447;-2.47042382955316;-5.59991818542843;-9.43339028310503;-9.57822838175767;-1.74917918564983;-2.50941094754405;-2.92969851329535;-5.14082977576436;-5.90114580449078;-3.25149377304176;-4.66952811561879;-0.447853426735707;-1.40836570890727;-13.7855094741329;-6.07144330156947;-8.3440927310468;-3.78743438890114;-3.3757858459097;-4.22319244926307;-4.37739292901066;-36.0436533891172;-2.80779976496055;-4.73536509818895;-5.2526728944986
15.9;-13.4559054063886;-0.511247508346809;-8.35994131903905;-6.74362378424246;-6.93552902828565;-3.28059897834706;-4.27658425733211;-1.22774347013696;-2.33334369105166;-2.74681840417523;-1.92854274667429;-10.0135346141066;-2.90889529923034;-5.86819212654973;-1.61529572942175;-2.02155454367686;-2.63458664452308;-1.78572156248947;-7.36776722304591;-2.69407848691968;-6.41471206564006;-2.86453639886526;-3.04794997306043;-6.76782805276203;-5.72244730451667;-5.43847357685853;-11.909699671397;-4.28060389553833;-9.76748871920401;-3.33155746243443;-6.39989234129257;-13.4583516050308;-3.09089832914558;-4.42622890691895;-3.97149715766344;-1.46660359014811;-1.99848229056919;-10.4507856666626;-8.61671800551816;-1.3334576866206;-8.19500989921139;-6.45764646866124;-6.22513199568426;-4.15162783872464;-8.1645989489064;-2.46179794042774;-5.58391319902345;-9.4011015329321;-9.54532771125156;-1.6220549350034;-2.42981075907171;-2.88765708401156;-5.10796926250618;-5.89032746995729;-3.24492544678381;-4.66050998417633;-0.440203661700942;-1.38036038078653;-13.7660446179617;-6.06192514686945;-8.23831380272103;-3.71979475945578;-3.33898829571322;-4.15871120203846;-4.34368751048618;-36.0436533891172;-2.75687319306882;-4.69231131570577;-5.23449768401736
