Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-7.19259933589023;-0.962675378613705;-8.41315467968886;-6.23559886051415;-10.5807706270728;-3.38335690735847;-4.75708323843031;-1.97419432724449;-4.52950464364054;-2.63527223768866;-2.60387221430884;-8.20305654800189;-2.87810166744373;-5.34709163891416;-3.45157777322404;-2.94353959209151;-3.13551220794729;-1.38198296046679;-7.61666975392659;-2.61537562155439;-6.68225775016069;-2.68591233600267;-2.9250587224521;-7.54960590561171;-5.52293091181216;-5.19021500751826;-9.71218919068365;-5.05478981530363;-9.90205660552486;-3.74570987640935;-6.26439721973781;-13.0189320991667;-3.67120973523172;-3.26374946023522;-4.49949988878613;-1.84509499190926;-1.96128785002044;-10.8249065996749;-10.3429413406785;-1.15483320386317;-8.03513070917185;-7.05767340259331;-9.94969440792133;-3.32554321765674;-8.64861199645068;-2.57692630605352;-5.37759082842649;-5.25590194626577;-5.42004520623226;-2.90010839169498;-4.90929136346436;-3.24006131348905;-3.40406642574874;-6.47991509973153;-5.49900107564014;-5.13430888123003;-0.699808842343145;-1.65525387646298;-22.0014604289656;-10.0781523867417;-13.2513457694497;-4.41787983088473;-4.14595363609495;-5.1547189969754;-6.32221675344956;-21.9285219123632;-3.63596835977125;-5.02197192490509;-4.739224030335
15.1;-7.1731076064656;-0.90143588390427;-8.39008631032692;-6.21743814106555;-10.5413399534499;-3.35503544722623;-4.72432393579472;-1.88224710515864;-4.40312871354262;-2.6062528932327;-2.54343325355731;-8.17704783980773;-2.86236510596488;-5.31047376768634;-3.22877851992785;-2.85226623177262;-3.07819510825363;-1.35140171743252;-7.60450069704356;-2.60175282048369;-6.6425478824647;-2.65378851546638;-2.89708419488659;-7.52674265980746;-5.49607314058322;-5.17910211045467;-9.67734072855382;-5.02126080810879;-9.86435177462593;-3.66461303025549;-6.17455975393952;-12.8545880484097;-3.66361395078103;-3.25758261898115;-4.47368467927361;-1.81771548404095;-1.9545586790477;-10.7819059869817;-10.2969203160983;-1.14855495501388;-7.99877091983011;-7.01510060569776;-9.91354972667658;-3.31482920897117;-8.6269596091323;-2.56792962961858;-5.36310363205389;-5.24825064862489;-5.41226798563018;-2.74551431694919;-4.81206863500655;-3.20169938690874;-3.39216598617405;-6.45595310677842;-5.46384030934042;-5.12194162176366;-0.688926833166098;-1.62753119981212;-21.9666430138595;-10.0655195183799;-13.091260454904;-4.35393674331424;-4.10700934441671;-5.08894320336965;-6.28077858608722;-21.8458500325215;-3.5829228064016;-4.98726025013383;-4.72110087724695
15.2;-7.15374482497353;-0.843037116475203;-8.36717032822584;-6.19927805570074;-10.5021695908722;-3.32692962571835;-4.69179038173225;-1.79238644641634;-4.27778278636444;-2.5773005096753;-2.48330437905437;-8.15121099578291;-2.84664353633201;-5.2741041898006;-3.00946549557584;-2.76150063160965;-3.0214129269785;-1.3213423702862;-7.59233170370525;-2.58814486493368;-6.6031021661186;-2.62195390816582;-2.86933950175937;-7.5040306064637;-5.46939559172498;-5.16798991205851;-9.64272236633571;-4.98796050551529;-9.82689589550752;-3.58368879485662;-6.08533195357721;-12.6902608864259;-3.65601968426699;-3.25141729936686;-4.44804747860318;-1.79065984772586;-1.94783697148544;-10.7391892468154;-10.2512031336245;-1.14229495531577;-7.96265157065347;-6.97281043276956;-9.87764368995806;-3.30411953049316;-8.60530718084958;-2.55893967148454;-5.34861752846518;-5.24059966033921;-5.40449103608453;-2.59355005398078;-4.71492339232168;-3.16340087208841;-3.38027048513756;-6.43215017451591;-5.42891683709687;-5.10957528024298;-0.678162952765567;-1.5999956424681;-21.9318254242344;-10.0528866316911;-12.9311884029859;-4.29046841552395;-4.06809074328839;-5.02362814231001;-6.23961712845596;-21.7631803079388;-3.53030692985642;-4.95255699774712;-4.70310027137409
15.3;-7.13450930395483;-0.787465716303519;-8.34440473679774;-6.18111859149274;-10.4632561267251;-3.29903720443809;-4.65947986100937;-1.70468555963015;-4.15347751500487;-2.54841689260777;-2.42350306422279;-8.12554376557808;-2.83093718147824;-5.23797984547569;-2.79404191160849;-2.67128778705696;-2.96516619199401;-1.29180215126784;-7.58016276454566;-2.57455194178945;-6.56391720430022;-2.59040648769945;-2.84182251264815;-7.48146776720283;-5.44289596058019;-5.15687841920227;-9.60833108842059;-4.9548861050281;-9.78968570547134;-3.50295130334028;-5.99670724619653;-12.5259674438314;-3.64842694695425;-3.24525351042377;-4.4225860951975;-1.76392600237612;-1.9411227697267;-10.6967526576067;-10.2057858112032;-1.13605326582064;-7.92676952137799;-6.93079923539416;-9.84197316985928;-3.29341423013983;-8.5836545884436;-2.54995648723572;-5.33413263662049;-5.23294898377204;-5.39671435970197;-2.44441020922556;-4.61786346879184;-3.12516916779326;-3.36837999071693;-6.40850423226515;-5.39422769465044;-5.09720986829117;-0.667517176331472;-1.57265161238718;-21.8970074855706;-10.0402537016484;-12.7711428325123;-4.22747163656631;-4.02919914760784;-4.95876935547548;-6.19872886266274;-21.6805148938714;-3.47811868786307;-4.91786260221997;-4.68522063831998
15.4;-7.11539938895276;-0.734696715764431;-8.3217875784954;-6.16295973573799;-10.4245962151258;-3.27135599517626;-4.62738971593862;-1.6192171104806;-4.03022603082061;-2.51960388659555;-2.36404754037656;-8.10004394287095;-2.81524626718187;-5.20209773916361;-2.58298447149823;-2.58167601500726;-2.9094556761081;-1.26277816301596;-7.56799387021007;-2.56097423983106;-6.52498966834033;-2.55914428330208;-2.8145311458859;-7.4590522023555;-5.41657198830161;-5.14576763884409;-9.57416393818313;-4.92203486272326;-9.75271800564148;-3.42241577048231;-5.9086792980987;-12.3617245534428;-3.64083575018638;-3.2390912612322;-4.39729838192066;-1.73751188439722;-1.93441611628538;-10.654592570563;-10.1606644446985;-1.12982994711178;-7.89112169341361;-6.88906343815459;-9.80653509964935;-3.28271335624862;-8.56200170879775;-2.54098013282383;-5.31964907565605;-5.22529862130455;-5.38893795860535;-2.29830878673954;-4.52089747364505;-3.08700774280811;-3.35649457157686;-6.38501324997733;-5.35976997881015;-5.08484539767;-0.656989451172647;-1.54550350957389;-21.8621890233492;-10.0276207032262;-12.6111369638681;-4.16494340303528;-3.99033590840841;-4.89436255324034;-6.15811034265798;-21.5978559455765;-3.42635620117983;-4.88317750789383;-4.66746043459215
15.5;-7.09641345765852;-0.684693764403886;-8.29931693380157;-6.14480147596051;-10.3861865751965;-3.24388385855366;-4.59551734492923;-1.53605228432795;-3.90804412922175;-2.49086337544194;-2.30495680104323;-8.0747093642266;-2.79957102208774;-5.16645493795056;-2.37684824945534;-2.49271706939132;-2.85428239154261;-1.23426737466462;-7.55582501135525;-2.54741194974013;-6.48631629599162;-2.52816537771292;-2.78746336709761;-7.43678200995853;-5.39042146067004;-5.13465757802858;-9.540218016455;-4.88940409177238;-9.71598965931301;-3.34209856233889;-5.82124201577925;-12.1975490506634;-3.6332461053863;-3.23293056092156;-4.37218223492968;-1.71141544486271;-1.92771705379495;-10.6127054077847;-10.1158352058777;-1.12362505929575;-7.85570506825219;-6.84759953677879;-9.77132647218981;-3.2720169575803;-8.54034841883878;-2.53201066456866;-5.30516696488604;-5.21764857533586;-5.38116183493391;-2.15547842582327;-4.42403486536575;-3.04892013714158;-3.34461429697383;-6.36167523718224;-5.32554084591376;-5.07248188028136;-0.646579696766595;-1.51855572093394;-21.8273698630506;-10.0149876113998;-12.4511840192644;-4.1028809188362;-3.95150241404153;-4.83040361372329;-6.11775819243877;-21.5152056183102;-3.37501775132419;-4.84850216929818;-4.64981814680119
15.6;-7.07754991908429;-0.637409575026791;-8.27699092025074;-6.12664379991607;-10.3480239893924;-3.21661870270357;-4.56386020108399;-1.45525977916952;-3.78695046325119;-2.46219728241537;-2.24625060222449;-8.04953790799457;-2.78391167772812;-5.1310485700094;-2.17626829729598;-2.40446623388857;-2.79964758388828;-1.20626661852663;-7.54365617864951;-2.533865264106;-6.44789388975385;-2.49746790508169;-2.76061718777706;-7.41465532478507;-5.36444220695034;-5.12354824388775;-9.50649048004748;-4.85699116101428;-9.67949759035362;-3.26201726803837;-5.73438954777028;-12.0334577739259;-3.62565802405677;-3.22677141867056;-4.3472355925627;-1.68563464727617;-1.92102562500726;-10.5710876604428;-10.0712943404609;-1.11743866199416;-7.82051668592683;-6.80640409634706;-9.73634433840237;-3.26132508332208;-8.5186945955378;-2.52304813915878;-5.29068642380438;-5.20999884828325;-5.37338599084334;-2.01616880892521;-4.32728603131652;-3.0109099631747;-3.33273923676075;-6.3384882419707;-5.29153751033799;-5.06011932816902;-0.636287804835445;-1.4918126149443;-21.7925498301554;-10.002354401146;-12.2912972230519;-4.0412815950158;-3.91270009138713;-4.76688858196089;-6.0776691043106;-21.4325660673298;-3.32410177825083;-4.81383705148165;-4.63229229088555
15.7;-7.05880721276265;-0.592786573168203;-8.25480769148214;-6.10848669559655;-10.3101053018843;-3.18955848199277;-4.53241579084036;-1.37690474753037;-3.66696674354568;-2.43360757043738;-2.18794945807434;-8.02452749324112;-2.76826846854331;-5.09587582310174;-1.98195627492682;-2.31698238542594;-2.74555272550203;-1.17877258736929;-7.53148736277291;-2.52033437743155;-6.40971931525279;-2.46705004891171;-2.73399066390196;-7.39267031740579;-5.33863209878387;-5.11243964364201;-9.47297854032134;-4.82479349357214;-9.64323878165643;-3.18219077334572;-5.64811628689042;-11.8694675652143;-3.61807151778089;-3.22061384370743;-4.32245643426251;-1.6601674654205;-1.91434187279117;-10.5297358870144;-10.0270381662334;-1.1112708143355;-7.7855536435204;-6.76547374955741;-9.70158580578558;-3.25063778309065;-8.49704011591133;-2.51409261365227;-5.27620757208662;-5.20234944258226;-5.36561042850591;-1.88064408588077;-4.23066237393616;-2.97298090674724;-3.32086946139168;-6.31545035000953;-5.25775724305644;-5.04775775352027;-0.626113639447984;-1.4652785361489;-21.7577287501442;-9.98972104744244;-12.1314898020763;-3.98014304963837;-3.87393040709082;-4.70381366919966;-6.03783983720538;-21.3499394478919;-3.27360687796779;-4.77918263035291;-4.61488141136108
15.8;-7.04018380797143;-0.550757724438715;-8.23276543632286;-6.09033015123427;-10.2724274169911;-3.16270119577934;-4.50118167265417;-1.30104771037745;-3.54811794252868;-2.40509624222883;-2.13007463145562;-7.99967607871539;-2.75264163190182;-5.06093394312763;-1.79469022516995;-2.23032802145642;-2.69199950831275;-1.15178183228621;-7.51931855441743;-2.50681948613862;-6.371789499671;-2.43691004003865;-2.70758189458609;-7.37082519327975;-5.3129890491162;-5.1013317846011;-9.43967946180211;-4.79280856551426;-9.6072102736419;-3.10263933550722;-5.56241687290654;-11.7055952706696;-3.61048659822258;-3.21445784531009;-4.29784277953399;-1.63501188129487;-1.90766584013127;-10.4886467115742;-9.98306307121787;-1.10512157494698;-7.75081309372154;-6.7248051950464;-9.66704803697868;-3.2399551069353;-8.47538485702233;-2.5051441454773;-5.26173052959172;-5.19470036068679;-5.35783515011063;-1.74917918564593;-4.13417640386332;-2.93513672817361;-3.30900504192655;-6.29255968358768;-5.22419737024331;-5.03539716866759;-0.616057037147534;-1.43895779949005;-21.7229064484976;-9.97708752526828;-11.9717749860987;-3.91946310769362;-3.83519486882833;-4.64117525230068;-5.99826721505361;-21.2673279152536;-3.22353180007955;-4.74453939303177;-4.59758408059444
15.9;-7.02167820298304;-0.51124750834663;-8.21086237789989;-6.07217415530645;-10.2349872976631;-3.13604488720617;-4.4701554557243;-1.22774347013707;-3.43043250004602;-2.37666534041135;-2.07264811882406;-7.97498166184818;-2.73703140812012;-5.02622023272099;-1.61529572941369;-2.14456924339895;-2.63898983600364;-1.12529076116583;-7.50714974428703;-2.493320788573;-6.33410143022855;-2.40704615464386;-2.68138902076697;-7.34911819187414;-5.28751101115844;-5.09022467416497;-9.40659056083902;-4.76103390455678;-9.57140916280696;-3.02338465876197;-5.47728619561115;-11.5418577412989;-3.60290327712704;-3.20830343280642;-4.2733926869342;-1.61016588313972;-1.90099757012654;-10.4478168221401;-9.93936551190429;-1.09899100194639;-7.71629224342619;-6.68439519576353;-9.63272824837065;-3.22927710534095;-8.45372869598135;-2.49620279243276;-5.24725541636395;-5.1870516050693;-5.35006015786333;-1.62205493499963;-4.0378418403073;-2.89738126318004;-3.29714605003589;-6.26981440069255;-5.1908552719212;-5.02303758609048;-0.606117807105442;-1.41285468448676;-21.6880827506963;-9.96445380960377;-11.8121660082827;-3.85923980102104;-3.7964950265961;-4.57896987325058;-5.95894812520861;-21.1847336246712;-3.17387544524562;-4.70990783820984;-4.58039889809941
