Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.0251935483176;-0.962631876038105;-9.00871331125784;-6.20766365616369;-5.82974366202895;-2.53262733384956;-5.3343321083124;-1.97419421205243;-2.72321895934129;-3.23914676272202;-4.10771823456758;-8.65881470093575;-4.81330047419188;-9.48980750265616;-3.45157775236617;-2.66383779910387;-3.6603914170414;-1.58530688296498;-8.11538794879817;-3.4038189751492;-6.03352770205848;-3.67065764928093;-3.31854872940091;-6.05410481638288;-5.36311952050483;-7.66663385596256;-12.4587079986488;-5.28488350953729;-12.5616376613279;-4.34894282852327;-10.2235795629156;-6.96400098204972;-4.11541033288647;-4.48450842572899;-3.68759795086008;-1.56135094712299;-2.9581397711203;-7.04800203575849;-8.6703194350303;-1.36932935213531;-8.34303606641058;-6.21664466964723;-6.43939610947466;-5.82575254452321;-8.17288833174534;-2.66306237715633;-5.9227137444638;-4.76775962325151;-5.57549286471167;-2.90010839169521;-2.33131447418181;-2.78383153636882;-5.36008014678141;-7.38137249669796;-3.77334461238291;-4.37684217876887;-0.512771390978151;-1.22575805622576;-13.6435204521288;-5.9546844106877;-3.52710368751388;-4.48585836520785;-3.44121444978235;-3.46091373894663;-4.5510694752778;-7.09086877364656;-2.9922234543492;-5.04051143511455;-5.96785422810669
15.1;-12.9972930602546;-0.90139741734748;-8.980959502305;-6.1771267738732;-5.82152348549525;-2.52119122399807;-5.2993893577618;-1.88224699712416;-2.62088292075155;-3.16866221892967;-3.97860754922739;-8.63172361024131;-4.78473129656697;-9.42942369471153;-3.22877850079394;-2.57574134521221;-3.60196367396239;-1.53321594469045;-8.09944303873885;-3.38788101870751;-6.00946563832664;-3.62961030165117;-3.28861333604341;-6.04034625897888;-5.34878779423017;-7.62445182194277;-12.4385366240761;-5.24370984728919;-12.5212963153246;-4.25608616925695;-10.1023202297473;-6.89154826581816;-4.10409076945034;-4.4626346703428;-3.66226002422238;-1.53766441396028;-2.94503883384605;-7.04397408825883;-8.63493197349368;-1.35383317086882;-8.3210176193645;-6.19754061894679;-6.43143318592556;-5.80148098907925;-8.13744490105101;-2.65343222048506;-5.90562160599203;-4.76654910946527;-5.57137509116574;-2.74551431694898;-2.25839702308585;-2.74610304452035;-5.32608473823561;-7.36519779254938;-3.7608097931207;-4.36946860070643;-0.504268599673794;-1.21038626972982;-13.602423996733;-5.94486092036672;-3.4940931726002;-4.40217113076852;-3.4040798999691;-3.41920929091213;-4.51214587092881;-7.0624764491396;-2.93461844517046;-4.99429157580136;-5.94786415365054
15.2;-12.9693923528141;-0.843003411362078;-8.95338898408677;-6.14679337762017;-5.81330350977249;-2.50976653167428;-5.26468332169448;-1.79238634544907;-2.52002982545876;-3.09885828872197;-3.84984291004581;-8.60481146956064;-4.75616908483898;-9.36904261430526;-3.00946547816313;-2.48885503794151;-3.54363163520199;-1.48186511816895;-8.08349820991607;-3.37195193829161;-5.98540453924063;-3.58887930556844;-3.25890988095191;-6.02667896505639;-5.33445705148975;-7.58254908003969;-12.4183651927188;-5.20281686957944;-12.4812212566515;-4.16396510670191;-9.98186189131057;-6.81957907772024;-4.09277336449661;-4.44091082258903;-3.63710608511329;-1.51428529044871;-2.93194640959046;-7.03994613261748;-8.59977831474313;-1.3385216093292;-8.29899930613177;-6.1784372703982;-6.42347036463645;-5.77721115960024;-8.10223578588479;-2.64380907871472;-5.88853014919096;-4.76533859499052;-5.56725737227882;-2.59355005398014;-2.18657031963206;-2.70847256325619;-5.29231931451444;-7.34902333438117;-3.74827871527838;-4.36209578143832;-0.495874645349207;-1.19511007400024;-13.5615988091149;-5.93503769150524;-3.4611169725862;-4.31912224078757;-3.36699315942538;-3.37756363609337;-4.47349582930712;-7.03427221840023;-2.87757753696735;-4.9480872226311;-5.92800706370074
15.3;-12.9414912049041;-0.787436489677779;-8.92599935478365;-6.11666084441362;-5.80508373651316;-2.49835337647128;-5.23021106633891;-1.70468546562567;-2.4207121353842;-3.02973927943219;-3.72149519252023;-8.57807593462471;-4.72761412559695;-9.3086667141651;-2.79404189591168;-2.40321013719713;-3.48540099895293;-1.43128536046683;-8.06755346756777;-3.35603187135724;-5.96134397905865;-3.54846202544591;-3.22943607887333;-6.01310174084066;-5.3201273088498;-7.54092199807562;-12.3981936462129;-5.16220120199947;-12.4414089931768;-4.07258068906162;-9.86219411418383;-6.74808743082176;-4.0814581506204;-4.41933499866036;-3.61213402059227;-1.49121109608945;-2.91886161036038;-7.03591814657969;-8.5648553988221;-1.32339251863861;-8.27698114514103;-6.15933459647791;-6.41550764642351;-5.75294303954112;-8.06725792370723;-2.63419301019372;-5.87143927149672;-4.76412806657784;-5.5631396982093;-2.44441020922451;-2.1158552370517;-2.67094418724966;-5.25878101138197;-7.33284920518345;-3.73575142489694;-4.3547237878568;-0.487589034671951;-1.17992634473213;-13.5210413316976;-5.92521473463596;-3.42817640219403;-4.23671000728312;-3.32995640603939;-3.33597918637736;-4.43511629355298;-7.00625362942763;-2.82110214733478;-4.9018999914373;-5.90828122785711
15.4;-12.9135893954343;-0.734671678823059;-8.89878825954682;-6.08672660329831;-5.79686416738328;-2.48695187896583;-5.1959697188272;-1.61921702331937;-2.3229855059211;-2.96131002422744;-3.59364026372238;-8.55151470701756;-4.69906671090415;-9.24829844809363;-2.58298445750795;-2.31883951985696;-3.42727776530125;-1.38150720885969;-8.05160881695176;-3.34012095732383;-5.93728353299551;-3.50835591282196;-3.20018969832368;-5.99961341588933;-5.30579858307627;-7.49956701574416;-12.378021926195;-5.12185954437738;-12.4018561010252;-3.98193475957191;-9.74330667687563;-6.67706747634662;-4.07014516066965;-4.39790535218026;-3.58734176180547;-1.46843935839209;-2.90578355253424;-7.03189010789124;-8.53016022571786;-1.30844377761046;-8.25496315487898;-6.14023256994389;-6.40754503210945;-5.72867661344091;-8.03250831206453;-2.62458407374216;-5.85434887060306;-4.76291751097842;-5.55902205911731;-2.29830878673808;-2.04627315984113;-2.63352210609884;-5.22546702361623;-7.31667548798682;-3.72322796855489;-4.34735268686623;-0.479411253179142;-1.16483205629197;-13.480748076436;-5.91539206031512;-3.3952728084946;-4.15493322816026;-3.29297187289079;-3.29445844479255;-4.39700427926695;-6.97841827836414;-2.765193950897;-4.85573152828278;-5.88868494962637
15.5;-12.8856867033156;-0.684672625142716;-8.8717533892823;-6.05698813401497;-5.78864480406249;-2.47556216072021;-5.16195646566395;-1.53605220387446;-2.226908582847;-2.89357587740248;-3.46635945039797;-8.52512553298937;-4.67052713844246;-9.18794027103016;-2.37684823715624;-2.23577756008172;-3.36926824989226;-1.33256062586419;-8.03566426334601;-3.32421933759716;-5.91322277724965;-3.46855850436462;-3.17116856011358;-5.98621284248832;-5.29147089113757;-7.45848064276869;-12.3578499743023;-5.08178866901057;-12.3625592228107;-3.89202998503753;-9.62518956517447;-6.60651350120228;-4.05883442774743;-4.37662007323211;-3.56272728282641;-1.44596761143531;-2.89271135696726;-7.02786199429846;-8.49568985381162;-1.29367329204851;-8.23294535389163;-6.12113116384111;-6.39958252252349;-5.70441186694931;-7.99798400703642;-2.6149823286535;-5.83725884446649;-4.76170691494402;-5.55490444516471;-2.15547842582144;-1.97784586571527;-2.59621060507137;-5.19237460351756;-7.30050226586285;-3.71070839337382;-4.33998254538295;-0.47134076571055;-1.14982428350719;-13.4407156230171;-5.90556967912276;-3.36240757165983;-4.07379119902979;-3.25604184957151;-3.25300400827866;-4.35915687281026;-6.95076380825057;-2.70985487149428;-4.80958351071411;-5.86921656554422
15.6;-12.8577829074607;-0.637392040918615;-8.84489247947411;-6.02744296570361;-5.78042564824415;-2.46418434428393;-5.12816855124425;-1.45525970527156;-2.1325427295115;-2.82654270778164;-3.33974001750937;-8.49890620230773;-4.64199571165987;-9.12759463911565;-2.17626828666444;-2.15405998170432;-3.31137909787667;-1.28447483800668;-8.01971981204895;-3.30832715559218;-5.88916128903133;-3.42906741991535;-3.14237053591497;-5.97289889506716;-5.27714425020736;-7.41765945712041;-12.3376777321729;-5.04198541895634;-12.3235150659264;-3.80286988475847;-9.50783296772948;-6.53641992563304;-4.04752598521444;-4.35547738741949;-3.53828859953309;-1.42379339452293;-2.87964414909956;-7.02383378354827;-8.46144139837858;-1.27907899407721;-8.21092776078567;-6.10203035150719;-6.39162011850148;-5.68014878685434;-7.96368212173392;-2.60538783469623;-5.82016909131118;-4.76049626522695;-5.55078684651512;-2.016168808923;-1.91059539538168;-2.55901406569423;-5.15950105946481;-7.28432962192471;-3.69819274702395;-4.33261343033504;-0.463377016855759;-1.13490020346047;-13.4009406171178;-5.89574760166292;-3.32958210571911;-3.99328372529807;-3.2191686835031;-3.21161857048077;-4.32157122965832;-6.92328790782151;-2.65508707362873;-4.76345764906001;-5.8498744443256
15.7;-12.8298777867839;-0.592772353795462;-8.81820330904515;-5.99808867564825;-5.77220670163549;-2.45281855319521;-5.09460327641905;-1.37690468001863;-2.03995167828215;-2.76021689003945;-3.2138756473662;-8.47285454714561;-4.61347273992158;-9.06726400976092;-1.98195626592837;-2.07372368107016;-3.25361729809723;-1.23727816986023;-8.00377546837987;-3.2924445567559;-5.86509864659143;-3.38988036056927;-3.11379354686742;-5.95967046963298;-5.26281867766739;-7.37710010329352;-12.3175051414454;-5.0024467063778;-12.2847204008889;-3.71445885960834;-9.39122727186007;-6.46678130099829;-4.03621986669138;-4.33447555495648;-3.51402376852007;-1.40191425093381;-2.86658105906682;-7.01980545338808;-8.42741203013578;-1.26465884150169;-8.18891039422975;-6.08293010657823;-6.3836578208859;-5.6558873611102;-7.92959982484522;-2.59580065211544;-5.80307950963426;-4.75928554858013;-5.54666925333392;-1.88064408587823;-1.84454391045679;-2.52193696617493;-5.12684375451775;-7.26815763932772;-3.68568107772976;-4.32524540866209;-0.455519431414609;-1.12005709728845;-13.3614197687179;-5.88592583856386;-3.29679785931858;-3.91341113444911;-3.18235478124733;-3.17030492456199;-4.28424457280515;-6.89598831033922;-2.60089295313015;-4.71735568777553;-5.83065698604213
15.8;-12.8019711202009;-0.550746534007598;-8.79168369925418;-5.96892288806154;-5.76398796595769;-2.44146491198235;-5.0612579971061;-1.30104764906535;-1.94920110142717;-2.69460529374978;-3.0888669063061;-8.4469684410046;-4.58495853866443;-9.00695084171719;-1.79469021775655;-1.99480651911073;-3.1959901974658;-1.1909978751064;-7.98783123767913;-3.27657168859035;-5.84103442925121;-3.35099510678904;-3.08543556222245;-5.94652648322252;-5.24849419111039;-7.33679929063549;-12.2973321437594;-4.96316951094322;-12.2461720597355;-3.62680222098838;-9.27536305959351;-6.39759230767228;-4.02491610606143;-4.31361286978674;-3.48993088604422;-1.38032772676416;-2.85352122181379;-7.01577698156592;-8.39359897383628;-1.25041081719631;-8.16689327295589;-6.06383040299466;-6.37569563052592;-5.63162757886612;-7.89573433922765;-2.58622084163439;-5.78598999821087;-4.75807475175704;-5.54255165578829;-1.74917918564307;-1.77971354009625;-2.48498388163983;-5.0944001050637;-7.25198640126999;-3.67317343427564;-4.31787854731508;-0.447767414870149;-1.10529235198249;-13.3221498504672;-5.87610440047829;-3.2640563164823;-3.83417428842832;-3.14560260980614;-3.12906596602807;-4.24717419121662;-6.86886279246444;-2.54727512700586;-4.67127940683129;-5.81156262132565
15.9;-12.7740626866295;-0.511239068018024;-8.76533151262758;-5.9399432729077;-5.75576944294599;-2.43012354616492;-5.02813012294453;-1.22774341482092;-1.86035809828201;-2.6297152699737;-2.96482168231778;-8.4212457976722;-4.55645342955497;-8.94665759515432;-1.61529572352118;-1.91734708195693;-3.13850551547367;-1.14565996658056;-7.97188712530864;-3.26070870067556;-5.81696821743293;-3.31240951654972;-3.0572945980243;-5.93346587337135;-5.23417080834297;-7.2967537917303;-12.277158680755;-4.92415087827658;-12.2078669344711;-3.53990621933812;-9.1602311039303;-6.3288477530626;-4.01361473747266;-4.29288765873032;-3.46600808700282;-1.35903136986051;-2.84046377721087;-7.0117483458304;-8.35999950690747;-1.23633292852031;-8.1448764157608;-6.04473121500724;-6.36773354827749;-5.60736943049577;-7.86208294054419;-2.57664846445608;-5.76890045609968;-4.75686386151173;-5.53843404404717;-1.6220549349965;-1.71612621718185;-2.44815948417432;-5.06216757950685;-7.23581599099296;-3.66066986601158;-4.31051291325599;-0.440120353873298;-1.09060346218985;-13.283127696104;-5.86628329808357;-3.23135899737404;-3.75557459602585;-3.1089146979077;-3.08790469555652;-4.21035743833034;-6.8419091731629;-2.49423642244144;-4.62523062315026;-5.79258981059686
