Age;ParDep;SOS;OccCon;C1Lip;C1Ebur;L1Spi1;L1Spi2;L1InfEpi1;L1InfEpi2;L1InfEpi3;L1InfSur1;L1InfSur2;L5SupMar1;L5SupMar2;L5SupEpi1;L5SupEpi2;L5SupEpi3;L5SupSur1;L5SupSur2;S1Marg1;S1Marg2;S12Fus1;S12Fus2;SacElb;Tlip;Llip;SteRid;RimProfile;Shingle;ClaEpi1;ClaEpi2;ClaEpi3;ClaGra;ClaMedPor;ClaLatPor;GlenFosLip1;GlenFosLip2;HumWt;HumLesTubBum;HumLesTubMar1;HumLesTubMar2;HumLatEpi;TrapLip;FemFov;FemTroRou;FemTroFosExo;FemTroFosMedSurExo;TibWei;InnWei;IllCreFus1;IllCreFus2;IllCreFus3;AcePosMar;AceEndLip;IscTubBum;InfSurPor;SupIliExo;PostIliExo1;PostIliExo2;PubCol;PubRel;PubSupApe1;PubSupApe2;PubVenMar1;PubVenMar2;PubVenMar3;PubDorMar1;PubDorMar2;PubDorMar3
15;-13.731505447101;-0.962675378613705;-8.6452854484245;-6.0903126088899;-9.7935353531901;-3.93527904267793;-5.13621412653617;-1.97419432724449;-3.2314547519968;-3.26010509800901;-2.51646697575376;-8.58178826748246;-3.31584637581741;-24.2404426113722;-3.45157777322404;-2.84901487682867;-3.05915706493771;-2.17898914121445;-8.20498286909926;-3.0900686083782;-6.68557336697683;-3.18477052606869;-3.15472391845134;-6.93099664798333;-5.33177674875467;-5.5104783951574;-10.4034373207812;-4.86772092190674;-10.7600012203156;-4.17088978250009;-7.2137392370761;-15.0949957610394;-3.46072610306272;-2.9239179004539;-3.7668459606782;-1.68360384075132;-2.7637933433392;-11.2029075857289;-9.37146013315325;-1.59652665974137;-7.82354442078146;-6.4048805715827;-6.31892709214521;-4.36445321713135;-8.74496750446988;-2.57977037074772;-5.63110741053104;-5.56261152583358;-5.95945899818673;-2.90010839169498;-3.18311268127158;-3.26955702922118;-5.41167951500956;-6.28062106894992;-3.61998056933585;-4.97713221899026;-0.512880823864358;-1.64123762041619;-13.9412161380926;-6.38018188113487;-4.74404814689779;-4.34795938756781;-3.67182464000363;-4.75626884842429;-10.4013014216813;-10.8568784653297;-3.23289294583793;-5.10702302449422;-5.51480435343772
15.1;-13.7008868389992;-0.90143588390427;-8.62007025170454;-6.06002802619661;-9.75683567406554;-3.90329360881536;-5.10199324298653;-1.88224710515864;-3.12656359734093;-3.20091587622758;-2.44741305868117;-8.55464053325637;-3.2989025108885;-24.0091274322235;-3.22877851992785;-2.75156769714248;-3.01145188713888;-2.11140666290737;-8.17621439332524;-3.0750488116416;-6.65777980612837;-3.14799833857221;-3.12559340659534;-6.91194590886904;-5.31711919763775;-5.49575193371636;-10.367571114831;-4.84294846678747;-10.721880588412;-4.07439291739421;-7.12090038303206;-14.9129278903955;-3.45301843757199;-2.91820199083523;-3.742895459432;-1.65824904065865;-2.7501483122425;-11.1620074457253;-9.33151725090025;-1.57879812603692;-7.80377838064788;-6.38351155454993;-6.31091046891078;-4.3498608079005;-8.72354222033276;-2.57059594888708;-5.61535982470852;-5.5558255623693;-5.9517491215394;-2.74551431694919;-3.09549733703322;-3.22677518416535;-5.37702324394906;-6.26862968338608;-3.61041148424859;-4.96620987353976;-0.504374930111683;-1.61131718877565;-13.9217534317395;-6.37046707381959;-4.69897124471551;-4.27599281137579;-3.63467564557591;-4.68792999177691;-10.30475001065;-10.8215786633192;-3.17803832721369;-5.06351552916625;-5.49506939158467
15.2;-13.6702679602111;-0.843037116475203;-8.59502160675513;-6.02994546782334;-9.72037831602885;-3.87154014571828;-5.06800533846078;-1.79238644641634;-3.02286254783597;-3.14226426206273;-2.37925931700187;-8.52767213390709;-3.28196964607999;-23.7778268403494;-3.00946549557584;-2.65540090796307;-2.96386477652469;-2.04445546508112;-8.14763604041012;-3.06003993133692;-6.6299866825378;-3.1115288426883;-3.09669371404831;-6.8930212763119;-5.30246270234901;-5.48102634995032;-10.3319416912799;-4.81818087528165;-10.6840116114124;-3.97869229223187;-7.02868123546796;-14.7308764144103;-3.44531271332131;-2.91248794671153;-3.71911681911504;-1.63321047791588;-2.73651575963226;-11.1213772991364;-9.29183815991356;-1.56126709078841;-7.78401246234245;-6.36214323239869;-6.30289396261953;-4.33527120332143;-8.70211685083657;-2.56142849192798;-5.59961310403381;-5.54903977756638;-5.94403939991918;-2.59355005398078;-3.00881923574945;-3.18407002093755;-5.34260124949732;-6.25663860369602;-3.60084465533511;-4.95528838117157;-0.495977923407939;-1.58161849559684;-13.9022906659286;-6.36075243678204;-4.6539139563897;-4.20457348694239;-3.59756434341076;-4.62008516623623;-10.2082044826659;-10.786279309795;-3.12367503384967;-5.0200209110594;-5.4754662845742
15.3;-13.6396485390316;-0.787465716303519;-8.57013733136813;-6.00006233423673;-9.68416010338878;-3.84001612445545;-5.03424755168591;-1.70468555963015;-2.92038367028914;-3.08415060796271;-2.31201882928893;-8.5008807203498;-3.26504796191535;-23.5465554230251;-2.79404191160849;-2.5605522419266;-2.91640166712689;-1.97817976341673;-8.11924532199976;-3.04504212442776;-6.60219346833278;-3.07535977259572;-3.06802262420035;-6.87422110084314;-5.28780727492892;-5.46630164104462;-10.296545945923;-4.7934182564797;-10.6463909898902;-3.88379190860235;-6.93707427949335;-14.5488577188599;-3.43760894483251;-2.90677577815875;-3.69550801469314;-1.60848585857599;-2.72289562536988;-11.0810136058356;-9.25241940527366;-1.54393147111859;-7.76424663133089;-6.34077554403546;-6.29487757421098;-4.32068446420203;-8.68069123753656;-2.55226805741078;-5.58386722168594;-5.54225417263654;-5.93632983452276;-2.44441020922556;-2.92309414803109;-3.14144585011468;-5.30841061294891;-6.24464786605988;-3.59127981864411;-4.94436776686571;-0.487689310388179;-1.55214659515395;-13.8828277808685;-6.35103798008676;-4.6088780807101;-4.13369896143549;-3.56049242091741;-4.55273055748545;-10.111670440048;-10.750980829256;-3.06980257581589;-4.976540534169;-5.45599332368704
15.4;-13.6090283037566;-0.734696715764431;-8.5454152860098;-5.97037607753902;-9.64817792257477;-3.8087190737788;-5.000717081201;-1.6192171104806;-2.81916197458362;-3.02657553152807;-2.24570517991654;-8.47426398945017;-3.24813764162648;-23.3153277675228;-2.58298447149823;-2.46706193872736;-2.86906870487011;-1.91262466378688;-8.09103979845099;-3.0300555498859;-6.57439963651411;-3.03948893592291;-3.03957797226369;-6.85554376525634;-5.2731529276453;-5.45157780438216;-10.2613808352511;-4.76866072244781;-10.6090154889286;-3.78969682780916;-6.8460721967749;-14.3668881899545;-3.42990714672835;-2.90106549530018;-3.6720670625956;-1.58407289919434;-2.70928785193021;-11.0409128949079;-9.21325759970902;-1.52678921177824;-7.74448085314376;-6.31940842873691;-6.28686130463216;-4.30610065190297;-8.65926522202544;-2.54311470327642;-5.56812215107877;-5.53546874879968;-5.92862042655601;-2.29830878673954;-2.83833920868647;-3.09890709129941;-5.27444847581841;-6.23265750669409;-3.58171671075104;-4.93344805569519;-0.479508576534645;-1.52290654488189;-13.8633647167677;-6.34132371381299;-4.56386545268672;-4.06336709277647;-3.52346161139096;-4.48586256777693;-10.0151534882198;-10.715683646232;-3.01642066800691;-4.93307578455378;-5.43664883372338
15.5;-13.5784069826832;-0.684693764403886;-8.52085337271605;-5.94088420013896;-9.61242872052943;-3.77764657865541;-4.96741118385395;-1.53605228432795;-2.71923544283404;-2.96953991120156;-2.18033240292182;-8.44781968283498;-3.23123887118563;-23.084158461118;-2.37684824945534;-2.37497265189138;-2.82187225253259;-1.84783602769468;-8.06301707757105;-3.01508036870936;-6.54660466098408;-3.00391421163508;-3.01135764380322;-6.83698768377208;-5.25849967299655;-5.4368548375462;-10.2264433748794;-4.74390838829844;-10.5718819364505;-3.69641321210893;-6.75566786409227;-14.1849842144226;-3.42220733373307;-2.8953571083066;-3.64879201962866;-1.55996932497054;-2.69569238443855;-11.001071762858;-9.1743494218471;-1.50983828428596;-7.72471509337769;-6.29804182615807;-6.2788451548377;-4.29151982834464;-8.63783864593426;-2.5339684878674;-5.55237786586509;-5.52868350728386;-5.92091117723405;-2.15547842582327;-2.75457291394807;-3.05645827547057;-5.24071203832156;-6.22066756185172;-3.57215506876726;-4.9225292728269;-0.471435186610133;-1.49390339845161;-13.8439014138349;-6.33160964805484;-4.51887794496952;-3.99357605261025;-3.4864736952745;-4.4194778163166;-9.91865923600866;-10.6803881852846;-2.96352922598954;-4.88962807119574;-5.41743117213482
15.6;-13.5477843041098;-0.637409575026791;-8.49644953402325;-5.91158425346536;-9.57690950315288;-3.74679627884374;-4.93432717334643;-1.45525977916952;-2.62064503025073;-2.91304488145463;-2.11591491937265;-8.42154558574092;-3.21435183933737;-22.853062091085;-2.17626829729598;-2.28432931607922;-2.77481889447559;-1.78386031498609;-8.03517481339773;-3.00011674394046;-6.51880801657525;-2.9686335479551;-2.98335957330761;-6.8185513012295;-5.24384752371505;-5.42213273832341;-10.1917306380275;-4.71916137226251;-10.5349872216027;-3.60394836585855;-6.66585435217758;-14.0031621796153;-3.41450952067304;-2.88965062739642;-3.6256809819236;-1.53617286798592;-2.68210917070805;-10.9614868718768;-9.13569161452163;-1.49307668610475;-7.70494931769683;-6.27667567634096;-6.27082912578985;-4.27694205601421;-8.6164113509333;-2.52482946992859;-5.53663433994044;-5.52189844932545;-5.91320208778135;-2.01616880892521;-2.67181510923153;-3.01410404725222;-5.20719855790525;-6.20867806782289;-3.56259463034913;-4.91161144352253;-0.463468585105437;-1.46514219855169;-13.8244378122788;-6.32189579292141;-4.47391746931265;-3.92432432932684;-3.44953050143503;-4.3535731397733;-9.82219329597328;-10.6450948710082;-2.91112836156119;-4.84619882688942;-5.39833872818418
15.7;-13.5171599963356;-0.592786573168203;-8.47220175193314;-5.88247383672186;-9.54161733379669;-3.71616586751237;-4.90146241882516;-1.37690474753037;-2.52343463246366;-2.85709182742923;-2.0524674681711;-8.39543952590027;-3.19747673763055;-22.6220532446973;-1.98195627492682;-2.19517897084842;-2.72791544109559;-1.72074440325124;-8.00751070501833;-2.98516484068379;-6.49100917908059;-2.93364496031611;-2.95558174279924;-6.80023309230365;-5.2291964927704;-5.40741150470691;-10.1572397540471;-4.69441979576304;-10.4983282931914;-3.51231077609066;-6.57662492484025;-13.8214384736215;-3.40681372247729;-2.88394606283583;-3.60273208391783;-1.512681265536;-2.66853816127757;-10.9221549481631;-9.09728098313406;-1.47650243985372;-7.68518349183417;-6.25530991972314;-6.26281321845855;-4.2623673979727;-8.59498317873305;-2.51569770860809;-5.52089154744715;-5.51511357616912;-5.90549315943176;-1.88064408588077;-2.59008696615772;-2.97184916708663;-5.17390534782448;-6.19668906093508;-3.55303513370735;-4.90069459313947;-0.455608196700107;-1.43662796938676;-13.8049738523086;-6.31218215853693;-4.42898597808311;-3.85561073109935;-3.41263390845097;-4.28814559290135;-9.72576128476225;-10.6098041280312;-2.85921837799651;-4.80278950915949;-5.3793699221322
15.8;-13.4865337876612;-0.550757724438715;-8.4481080469107;-5.8535505956811;-9.50654933180569;-3.68575308989952;-4.8688143435177;-1.30104771037745;-2.42765101381848;-2.80168237899402;-1.99000503030734;-8.36949937246185;-3.18061376045038;-22.3911465092305;-1.79469022516995;-2.10757053718202;-2.68116893295276;-1.65853538374507;-7.98002249542622;-2.97022482612402;-6.46320762528441;-2.89894652934361;-2.92802218048154;-6.78203156074776;-5.21454659337289;-5.39269113489922;-10.122967906997;-4.66968378349037;-10.4619021581673;-3.42151015196154;-6.48797303838028;-13.6398294854146;-3.3991199541781;-2.87824342493892;-3.57994349736794;-1.48949225855735;-2.65497930944982;-10.8830727802978;-9.05911439406697;-1.46011359255373;-7.66541758159297;-6.2339444971466;-6.25479743382155;-4.24779591786214;-8.5735539710851;-2.50657326345804;-5.50514946277837;-5.50832888906788;-5.8977843934286;-1.74917918564593;-2.5094109475442;-2.92969851329532;-5.14082977576448;-6.18470057755364;-3.54347631761651;-4.88977874713167;-0.447853426735731;-1.40836570890729;-13.7855094741332;-6.30246875504089;-4.38408546581479;-3.78743438890029;-3.37578584590971;-4.22319244926316;-9.62936882350535;-10.5745163810171;-2.80779976496074;-4.75940160120865;-5.36052320445008
15.9;-13.4559054063885;-0.51124750834663;-8.42416647691352;-5.82481222151704;-9.47170267110575;-3.65555574201175;-4.83638042341114;-1.22774347013707;-2.33334369105199;-2.74681840417514;-1.92854274667406;-8.34372303494608;-3.1637631050505;-22.1603564719592;-1.61529572941369;-2.02155454367673;-2.63458664452305;-1.59728033412721;-7.95270797041345;-2.95529686954369;-6.4354028329946;-2.86453639886529;-2.90067895942239;-6.76394523865931;-5.19989783897691;-5.37797162731549;-10.0889123342627;-4.64495346347918;-10.4257058801592;-3.33155746243451;-6.39989234129235;-13.458351605022;-3.39142823091161;-2.87254272406784;-3.55731343039336;-1.466603590148;-2.64143257132997;-10.8442372176708;-9.02118877314764;-1.44390821490577;-7.64565155284819;-6.21257934986686;-6.24678177286437;-4.23322767991285;-8.55212356978312;-2.49745619443536;-5.48940806058214;-5.50154438928323;-5.89007579102474;-1.62205493499963;-2.42981075907186;-2.88765708401153;-5.1079692625063;-6.17271265408204;-3.53391792142475;-4.8788639310506;-0.440203661700965;-1.38036038078653;-13.7660446179619;-6.29275559258817;-4.33921797080735;-3.71979475945493;-3.33898829571323;-4.15871120203856;-9.53302153824025;-10.5392320546656;-2.75687319306901;-4.71603661289512;-5.34179705505677
